Language	objec_ratio	subject_ratio
Arabic_2.6	0.102919492775	0.0437902028699
Catalan_2.6	0.23803516029	0.166971167571
Czech_2.6	0.0492514451777	0.0274705782549
Dutch_2.6	0.0541078664245	0.211594369765
Finnish_2.6	0.0663537443994	0.13648155807
French_2.6	0.0749823062203	0.24549436945
German_2.6	0.0578348408022	0.145387190604
Hindi_2.6	0.0384475879579	0.130971180418
Norwegian_2.6	0.0901403435896	0.306392151579
Spanish_2.6	0.167241009328	0.122347145023
Basque_2.6	0.00496038136958	0.0159847484968
Bulgarian_2.6	0.0660148148148	0.108903478461
Croatian_2.6	0.0707409477672	0.0411634852617
Estonian_2.6	0.0670357812725	0.141957523162
Hebrew_2.6	0.0408898959728	0.0841980933097
Japanese_2.6	0.0149615361318	0.0199875466999
Polish_2.6	0.0630489394254	0.0528884269128
Romanian_2.6	0.171616161616	0.182431966931
Slovak_2.6	0.0784672770431	0.0344802660113
Slovenian_2.6	0.112888000444	0.0435005117707
Swedish_2.6	0.11661120355	0.324403943596
Afrikaans_2.6	0.0470256289678	0.377558221595
Chinese_2.6	0.0149265518875	0.097527764776
Danish_2.6	0.102561432736	0.321517041087
Greek_2.6	0.0791427965203	0.120935412027
Hungarian_2.6	0.0633759902498	0.0736842105263
North_Sami_2.6	0.0614093218467	0.196196907766
Persian_2.6	0.0344106265035	0.0796653011418
Serbian_2.6	0.0215481745814	0.0567999010024
Turkish_2.6	0.0411510135905	0.0531341821743
Ukrainian_2.6	0.0869349230005	0.149126404725
Vietnamese_2.6	0.0	0.0
Amharic_2.6	0.0518032786885	0.407667134175
Armenian_2.6	0.0691796958664	0.142018514337
Breton_2.6	0.0246227164416	0.0474209650582
Buryat_2.6	0.0252600297177	0.0638450502152
Cantonese_2.6	0.109688195991	0.345423143351
Faroese_2.6	0.0180315552216	0.0568475452196
Kazakh_2.6	0.0376515634971	0.0887191539365
Kurmanji_2.6	0.0556070435588	0.172330097087
Naija_2.6	0.187526607067	0.482529401739
Thai_2.6	0.0319103061664	0.126136363636
Uyghur_2.6	0.0435269942089	0.123922069626
Bambara_2.6	0.259239704329	0.444444444444
Erzya_2.6	0.0389273356401	0.101391650099
Maltese_2.6	0.0440591245026	0.100786484125
Latvian_2.6	0.0814156969114	0.186409194691
Indonesian_2.6	0.0310809650554	0.2082592003
Urdu_2.6	0.0377746509362	0.168681258848
Portuguese_2.6	0.0620281623477	0.163656131854
English_2.6	0.094919221766	0.330566293176
Italian_2.6	0.0807917519848	0.125241480566
Russian_2.6	0.0587135749181	0.142606653741
Korean_2.6	0.0114082524631	0.0259592069605
Ancient_Greek_2.6	0.135325709693	0.121911421911
Classical_Chinese_2.6	0.0682357539716	0.047010296294
Gothic_2.6	0.157520578698	0.130059813604
Icelandic_2.6	0.0715532286213	0.186189258312
Latin_2.6	0.138744980227	0.151019720209
Lithuanian_2.6	0.0462328767123	0.0793183578621
Mbya_Guarani_2.6	0.0525210084034	0.162601626016
Old_Church_Slavonic_2.6	0.156875403486	0.0867080745342
Old_French_2.6	0.211260504202	0.306306306306
Old_Russian_2.6	0.0803991062486	0.0517211480101
Sanskrit_2.6	0.112424037812	0.152683169962
Scottish_Gaelic_2.6	0.0461818181818	0.331830985915
Welsh_2.6	0.0381679389313	0.166259168704
Wolof_2.6	0.30705633532	0.527504911591
Yoruba_2.6	0.20375	0.494475138122
Irish_2.6	0.0512077294686	0.194201886133
Coptic_2.6	0.289755807028	0.603997839006
