Language	Fraction	DepLen
Czech_2.6	0	7.07064771652
Czech_2.6	1	-10.9201421738
Czech_2.6	2	-16.9749736786
Czech_2.6	3	-20.2485542297
Czech_2.6	4	-22.0604324341
Czech_2.6	5	-22.8933677673
Czech_2.6	6	-22.8570461273
Czech_2.6	7	-21.8701992035
Czech_2.6	8	-19.8120155334
Czech_2.6	9	-16.1068153381
Czech_2.6	10	-7.07064771652
Korean_2.6	0	15.1118907928
Korean_2.6	1	-5.24923992157
Korean_2.6	2	-14.0348081589
Korean_2.6	3	-19.2879924774
Korean_2.6	4	-22.6264877319
Korean_2.6	5	-24.6198005676
Korean_2.6	6	-25.8956565857
Korean_2.6	7	-26.0791606903
Korean_2.6	8	-25.1188182831
Korean_2.6	9	-22.7663097382
Korean_2.6	10	-15.1118907928
English_2.6	0	0.142362624407
English_2.6	1	-5.85149431229
English_2.6	2	-7.92561674118
English_2.6	3	-9.04720783234
English_2.6	4	-9.5990228653
English_2.6	5	-9.71658325195
English_2.6	6	-9.39965629578
English_2.6	7	-8.67794132233
English_2.6	8	-7.49548196793
English_2.6	9	-5.65448904037
English_2.6	10	-0.142362624407
Welsh_2.6	0	0.301122516394
Welsh_2.6	1	-12.9246063232
Welsh_2.6	2	-16.0413475037
Welsh_2.6	3	-17.6248531342
Welsh_2.6	4	-18.3258914948
Welsh_2.6	5	-18.37840271
Welsh_2.6	6	-17.76471138
Welsh_2.6	7	-16.347448349
Welsh_2.6	8	-14.3319177628
Welsh_2.6	9	-10.7381134033
Welsh_2.6	10	-0.301122516394
German_2.6	0	3.09300422668
German_2.6	1	-0.534454584122
German_2.6	2	-2.09388756752
German_2.6	3	-3.11258840561
German_2.6	4	-3.82177782059
German_2.6	5	-4.31700706482
German_2.6	6	-4.63722705841
German_2.6	7	-4.79669427872
German_2.6	8	-4.77788877487
German_2.6	9	-4.51994371414
German_2.6	10	-3.09300422668
Norwegian_2.6	0	-0.707717657089
Norwegian_2.6	1	-8.91744232178
Norwegian_2.6	2	-11.1142969131
Norwegian_2.6	3	-12.2009868622
Norwegian_2.6	4	-12.6164627075
Norwegian_2.6	5	-12.5021696091
Norwegian_2.6	6	-11.8892631531
Norwegian_2.6	7	-10.7882680893
Norwegian_2.6	8	-9.09511470795
Norwegian_2.6	9	-6.42858076096
Norwegian_2.6	10	0.707717657089
Old_French_2.6	0	11.6705493927
Old_French_2.6	1	-7.23678541183
Old_French_2.6	2	-12.495724678
Old_French_2.6	3	-15.999373436
Old_French_2.6	4	-18.3635215759
Old_French_2.6	5	-19.8670730591
Old_French_2.6	6	-20.4903392792
Old_French_2.6	7	-20.4224014282
Old_French_2.6	8	-19.6751976013
Old_French_2.6	9	-17.6840801239
Old_French_2.6	10	-11.6705493927
Greek_2.6	0	-5.64436340332
Greek_2.6	1	-28.4546794891
Greek_2.6	2	-33.131565094
Greek_2.6	3	-34.9626808167
Greek_2.6	4	-35.2727737427
Greek_2.6	5	-34.2363548279
Greek_2.6	6	-32.0895767212
Greek_2.6	7	-28.5821228027
Greek_2.6	8	-23.1989345551
Greek_2.6	9	-14.581489563
Greek_2.6	10	5.64436340332
Urdu_2.6	0	-4.35798788071
Urdu_2.6	1	-18.402879715
Urdu_2.6	2	-21.6741161346
Urdu_2.6	3	-22.9263572693
Urdu_2.6	4	-23.1644630432
Urdu_2.6	5	-23.0102729797
Urdu_2.6	6	-22.0244674683
Urdu_2.6	7	-19.7746753693
Urdu_2.6	8	-16.2476272583
Urdu_2.6	9	-10.3990278244
Urdu_2.6	10	4.35798788071
Polish_2.6	0	1.70824301243
Polish_2.6	1	-7.52011108398
Polish_2.6	2	-10.9571685791
Polish_2.6	3	-13.1143846512
Polish_2.6	4	-14.4559431076
Polish_2.6	5	-15.0885877609
Polish_2.6	6	-15.1343421936
Polish_2.6	7	-14.5749483109
Polish_2.6	8	-13.1966981888
Polish_2.6	9	-10.4325094223
Polish_2.6	10	-1.70824301243
Russian_2.6	0	-3.88652706146
Russian_2.6	1	-16.6919250488
Russian_2.6	2	-20.2274303436
Russian_2.6	3	-21.8110561371
Russian_2.6	4	-22.287197113
Russian_2.6	5	-21.9479045868
Russian_2.6	6	-20.7973842621
Russian_2.6	7	-18.8192615509
