Language	isRoot	objects	order	subjectLength	verbDependents	verbLength
Arabic_2.6	0.388973897354	0.421992004362	0.0	4.59989683998	3.62788661955	19.2255427801
Catalan_2.6	0.636132315463	0.861720737838	0.0	6.99141221314	4.56973600469	21.2222487259
Czech_2.6	0.65064406575	0.389823760137	0.0	4.60293049902	4.15981761189	13.0431436255
Dutch_2.6	0.747600250554	0.319852756862	0.0	4.95338032534	4.21015037554	11.6021585202
Finnish_2.6	0.619389331791	0.320461268104	0.0	2.68954994545	3.79584999921	8.53711910425
French_2.6	0.706377766447	0.424497381274	-0.352886185729	6.14344483808	4.95838824079	19.1378611234
German_2.6	0.773173610081	0.517135294877	0.727828956378	4.59978688256	4.67543196253	13.0115438367
Hindi_2.6	0.488356784286	0.187011437487	0.0145643051091	3.81107545426	4.75610960211	11.7411544463
Norwegian_2.6	0.504114321561	0.368244870151	0.0	3.55950062782	3.99138662024	11.367446607
Spanish_2.6	0.635459915552	0.545687763664	0.0	6.15556118088	4.23650632873	18.1216371292
Basque_2.6	0.614876708201	0.307872846079	0.0	2.82762923325	4.69629382013	8.57976084296
Bulgarian_2.6	0.720707070637	0.409037745841	0.0	3.60677830907	3.90736310436	10.6927432207
Croatian_2.6	0.617024202362	0.431243124273	0.0	4.28836633625	4.36702420203	13.2918041792
Estonian_2.6	0.602964519083	0.302999533118	0.0	3.7863211948	4.21241830027	9.2804154987
Hebrew_2.6	0.621447486584	0.214336154833	0.0	6.28718651921	3.97049857313	16.271092825
Japanese_2.6	0.0	0.0	0.0	0.0	0.0	0.0
Polish_2.6	0.737537160082	0.245073239261	0.0	3.33438462755	3.98783579229	9.40879952349
Romanian_2.6	0.638879592772	0.332817402186	0.0	4.74763996331	4.32778010139	15.793292894
Slovak_2.6	0.809368191643	0.373638344192	0.0	3.6307189539	4.00326797348	9.84477124091
Slovenian_2.6	0.612438615345	0.422595520382	0.0	3.88693256642	4.85459336403	11.8275841407
Swedish_2.6	0.643760195697	0.428085916219	0.0	3.75727297409	4.09352909152	11.6020255563
Afrikaans_2.6	0.50827423163	0.560283687891	0.0	4.30338849447	4.15405831324	16.8526398724
Chinese_2.6	0.369549822931	0.470738492625	0.0	3.27371016664	4.08144916505	11.7570687901
Danish_2.6	0.549646529511	0.395919023101	0.0	3.54060625503	4.3379177374	13.4488967426
Greek_2.6	0.570967741883	0.440860215014	0.0	5.87311827904	4.00989247276	16.9776344071
Hungarian_2.6	0.499572649527	0.447222222183	0.0	4.21004273468	4.92489316198	16.2496794858
North_Sami_2.6	0.525793650744	0.233730158709	0.0	2.08492063474	4.40674603135	7.82857142789
Persian_2.6	0.583652094665	0.269080145697	0.0	4.14699453517	5.03966302325	19.6219945339
Serbian_2.6	0.624898320013	0.373386383697	0.0	4.71022104291	4.31319186522	13.6893899192
Turkish_2.6	0.728913787666	0.30174291936	0.0	2.8650793648	3.42374727636	7.17553688073
Ukrainian_2.6	0.6855946398	0.348408710185	0.0	5.9990787264	4.08065326595	13.8216080389
Vietnamese_2.6	0.582709113554	0.575062421921	0.0	2.11470037435	4.62312734042	10.747971285
Amharic_2.6	0.653669724706	0.295871559603	0.0	2.08486238512	4.3463302748	6.02064220124
Armenian_2.6	0.536949685483	0.187106918222	0.0	3.2963836475	4.98584905616	12.8466981121
Breton_2.6	0.8935742971	0.160642570265	0.0	3.57228915627	5.20682730872	10.3012048183
Buryat_2.6	0.714285714204	0.357142857106	0.0	1.57142857126	4.14285714241	6.28571428507
Cantonese_2.6	0.409246575303	0.349315068459	0.0657534246562	3.41952054762	5.099315068	12.8972602727
