"Language"	"Family"	"OSSameSide"	"OSSameSide_Real"	"OSSameSide_Real_Prob"	"Ancient"	"Medieval"	"Age"	"Trajectory"	"Group"	"Time"
"1"	"Classical_Chinese_2.6"	"Sino-Tibetan"	0.4	FALSE	0.0675373252453634	TRUE	FALSE	-1	"Mandarin"	"Chinese"	"-400"
"2"	"Chinese_2.6"	"Sino-Tibetan"	0.133333333333333	FALSE	0.0160982712572698	FALSE	FALSE	1	"Mandarin"	"Chinese"	"+2000"
"3"	"Classical_Chinese_2.6"	"Sino-Tibetan"	0.4	FALSE	0.0675373252453634	TRUE	FALSE	-1	"Cantonese"	"Chinese"	"-400"
"4"	"Cantonese_2.6"	"Sino-Tibetan"	0.266666666666667	FALSE	0.0553220269787792	FALSE	FALSE	1	"Cantonese"	"Chinese"	"+2000"
"5"	"ISWOC_Old_English"	"Germanic"	0.769	TRUE	0.49	TRUE	FALSE	-1	"English"	"English"	"+900"
"6"	"English_2.6"	"Germanic"	0.266666666666667	FALSE	0.0816786854392221	FALSE	FALSE	1	"English"	"English"	"+2000"
"7"	"Old_French_2.6"	"Latin_Romance"	0.733333333333333	TRUE	0.562505175101528	FALSE	TRUE	0	"Old_French"	"Romance"	"+1200"
"8"	"French_2.6"	"Latin_Romance"	0.333333333333333	FALSE	0.200486221777063	FALSE	FALSE	1	"Old_French"	"Romance"	"+2000"
"9"	"Latin_2.6"	"Latin_Romance"	0.4375	TRUE	0.537399860542946	TRUE	FALSE	-1	"French"	"Romance"	"+0"
"10"	"Old_French_2.6"	"Latin_Romance"	0.733333333333333	TRUE	0.562505175101528	FALSE	TRUE	0	"French"	"Romance"	"+1200"
"11"	"Latin_2.6"	"Latin_Romance"	0.4375	TRUE	0.537399860542946	TRUE	FALSE	-1	"Spanish"	"Romance"	"+0"
"12"	"Spanish_2.6"	"Latin_Romance"	0.2	FALSE	0.294788235507695	FALSE	FALSE	1	"Spanish"	"Romance"	"+2000"
"13"	"Latin_2.6"	"Latin_Romance"	0.4375	TRUE	0.537399860542946	TRUE	FALSE	-1	"Italian"	"Romance"	"+0"
"14"	"Italian_2.6"	"Latin_Romance"	0.266666666666667	FALSE	0.258976365908599	FALSE	FALSE	1	"Italian"	"Romance"	"+2000"
"15"	"Latin_2.6"	"Latin_Romance"	0.4375	TRUE	0.537399860542946	TRUE	FALSE	-1	"Galician"	"Romance"	"+0"
"16"	"Galician_2.6"	"Latin_Romance"	0.6	FALSE	0.292093980032101	FALSE	FALSE	1	"Galician"	"Romance"	"+2000"
"17"	"Latin_2.6"	"Latin_Romance"	0.4375	TRUE	0.537399860542946	TRUE	FALSE	-1	"Catalan"	"Romance"	"+0"
"18"	"Catalan_2.6"	"Latin_Romance"	0.4	FALSE	0.366131289233684	FALSE	FALSE	1	"Catalan"	"Romance"	"+2000"
"19"	"Latin_2.6"	"Latin_Romance"	0.4375	TRUE	0.537399860542946	TRUE	FALSE	-1	"Romanian"	"Romance"	"+0"
"20"	"Romanian_2.6"	"Latin_Romance"	0.4	FALSE	0.306765062605855	FALSE	FALSE	1	"Romanian"	"Romance"	"+2000"
"21"	"Latin_2.6"	"Latin_Romance"	0.4375	TRUE	0.537399860542946	TRUE	FALSE	-1	"Portuguese"	"Romance"	"+0"
"22"	"Portuguese_2.6"	"Latin_Romance"	0.2	FALSE	0.167575162411551	FALSE	FALSE	1	"Portuguese"	"Romance"	"+2000"
"23"	"Sanskrit_2.6"	"Indic"	0.6	TRUE	0.680408185778183	TRUE	FALSE	-1	"Hindi"	"Hindi/Urdu"	"-200"
"24"	"Hindi_2.6"	"Indic"	0.333333333333333	TRUE	0.758837536831639	FALSE	FALSE	1	"Hindi"	"Hindi/Urdu"	"+2000"
"25"	"Sanskrit_2.6"	"Indic"	0.6	TRUE	0.680408185778183	TRUE	FALSE	-1	"Urdu"	"Hindi/Urdu"	"-200"
"26"	"Urdu_2.6"	"Indic"	0.533333333333333	TRUE	0.739461161119612	FALSE	FALSE	1	"Urdu"	"Hindi/Urdu"	"+2000"
"27"	"Old_Church_Slavonic_2.6"	"Slavic"	0.733333333333333	FALSE	0.451525153690612	TRUE	FALSE	-1	"Bulgarian"	"South Slavic"	"+800"
"28"	"Bulgarian_2.6"	"Slavic"	0.4	FALSE	0.347988761626033	FALSE	FALSE	1	"Bulgarian"	"South Slavic"	"+2000"
"29"	"Old_Russian_2.6"	"Slavic"	0.8	FALSE	0.478022767210536	TRUE	FALSE	-1	"Russian"	"East Slavic"	"+1200"
"30"	"Russian_2.6"	"Slavic"	0.466666666666667	FALSE	0.355193867478513	FALSE	FALSE	1	"Russian"	"East Slavic"	"+2000"
"31"	"Old_Russian_2.6"	"Slavic"	0.8	FALSE	0.478022767210536	TRUE	FALSE	-1	"Belarusian"	"East Slavic"	"+1200"
"32"	"Belarusian_2.6"	"Slavic"	0.666666666666667	FALSE	0.234761472519695	FALSE	FALSE	1	"Belarusian"	"East Slavic"	"+2000"
"33"	"Old_Russian_2.6"	"Slavic"	0.8	FALSE	0.478022767210536	TRUE	FALSE	-1	"Ukrainian"	"East Slavic"	"+1200"
"34"	"Ukrainian_2.6"	"Slavic"	0.533333333333333	FALSE	0.355981615512675	FALSE	FALSE	1	"Ukrainian"	"East Slavic"	"+2000"
