Inference for Stan model: anon_model_ba741c0e3f22eb47aba9e3d39727722f.
4 chains, each with iter=2000; warmup=1000; thin=1; 
post-warmup draws per chain=1000, total post-warmup draws=4000.

                             mean se_mean     sd    2.5%    25%    50%    75%  97.5%  n_eff   Rhat
LogitsAll[1]                 1.21  9.3e-3   0.47     0.2   0.89   1.26   1.57   1.95   2564    1.0
LogitsAll[2]                -0.44    0.01   0.54   -1.48  -0.81  -0.45  -0.08   0.62   1870    1.0
LogitsAll[3]                -0.13    0.02   0.54   -1.19  -0.48  -0.13   0.23   0.89    971   1.01
LogitsAll[4]                -0.14    0.02   0.54   -1.19  -0.48  -0.15   0.22   0.95   1154    1.0
LogitsAll[5]                -0.97  8.0e-3   0.37   -1.72  -1.22  -0.98  -0.72  -0.23   2140    1.0
LogitsAll[6]                -1.22    0.01   0.46   -1.95  -1.59  -1.26  -0.89  -0.29   1409    1.0
LogitsAll[7]                  0.1  5.1e-3   0.33   -0.56  -0.12    0.1   0.32   0.77   4339    1.0
LogitsAll[8]                -0.78    0.01    0.4   -1.47  -1.07  -0.79  -0.52   0.05   1482    1.0
LogitsAll[9]                 0.13    0.01   0.53   -0.98  -0.23   0.14    0.5   1.15   2649    1.0
LogitsAll[10]                0.25    0.01   0.38   -0.57 4.6e-3   0.28   0.52   0.94    989    1.0
LogitsAll[11]               -0.42    0.02   0.55    -1.5  -0.78  -0.43  -0.07    0.7    678   1.01
LogitsAll[12]               -1.21  8.0e-3   0.36   -1.91  -1.47  -1.22  -0.97  -0.51   2040    1.0
LogitsAll[13]                1.08    0.01   0.38     0.3   0.84    1.1   1.35   1.78   1406   1.01
LogitsAll[14]                0.16    0.01   0.55   -0.92  -0.21   0.14   0.54   1.24   2883    1.0
LogitsAll[15]               -0.98    0.01   0.53   -1.92  -1.37  -1.01   -0.6   0.12   2052    1.0
LogitsAll[16]                0.74    0.01   0.55   -0.33   0.36   0.73   1.14    1.8   2155    1.0
LogitsAll[17]                0.42    0.02   0.56   -0.62   0.03    0.4   0.77    1.6   1150    1.0
LogitsAll[18]                0.69  5.5e-3   0.34 -7.3e-3   0.47   0.69   0.91   1.38   3856    1.0
LogitsAll[19]                0.25    0.01   0.38   -0.57 5.4e-5   0.27   0.52   0.95    915    1.0
LogitsAll[20]               -1.21  7.0e-3   0.36   -1.91  -1.47  -1.22  -0.97  -0.48   2692    1.0
LogitsAll[21]                1.11    0.01   0.48    0.13    0.8   1.13   1.48   1.91   1170    1.0
LogitsAll[22]                1.45  8.2e-3   0.34    0.73   1.21   1.47   1.72   1.97   1689    1.0
LogitsAll[23]               -0.16    0.01   0.53   -1.18  -0.53  -0.15   0.21   0.87   1273    1.0
LogitsAll[24]               -0.13    0.01   0.54   -1.21  -0.48  -0.11   0.23   0.87   2181    1.0
LogitsAll[25]               -1.43  7.6e-3   0.39   -1.97  -1.74  -1.49   -1.2  -0.52   2590    1.0
LogitsAll[26]                 1.4  7.2e-3   0.34    0.71   1.18   1.42   1.66   1.95   2166    1.0
alpha[1]                    -0.04    0.03   1.02   -2.12  -0.68  -0.04   0.64   1.96   1099    1.0
alpha[2]                  -5.1e-3    0.02    1.0   -2.03  -0.67  -0.01   0.68   1.94   2732    1.0
sigma_B[1]                   0.83    0.01   0.34    0.29   0.59   0.79   1.03   1.61    840   1.01
sigma_B[2]                   0.02    0.62   0.93   -1.52  -0.79 2.9e-3   0.84   1.51      2   2.72
Lrescor_Sigma[1,1]            1.0     nan    0.0     1.0    1.0    1.0    1.0    1.0    nan    nan
Lrescor_Sigma[2,1]           0.45    0.54   0.78   -0.99  -0.12   0.88   0.96    1.0      2   6.57
Lrescor_Sigma[1,2]            0.0     nan    0.0     0.0    0.0    0.0    0.0    0.0    nan    nan
Lrescor_Sigma[2,2]            0.4  8.7e-3   0.21    0.05   0.24   0.38   0.53   0.85    564    1.0
sigma_Sigma[1]              -1.12    0.01   0.45   -2.11  -1.39  -1.07  -0.79  -0.39    924   1.01
sigma_Sigma[2]              -0.41    0.56   0.86   -1.67  -0.98  -0.66   0.06    1.4      2   2.45
stepping                      1.0     nan    0.0     1.0    1.0    1.0    1.0    1.0    nan    nan
targetPrior                 -9.24    0.05   1.69  -13.38 -10.13  -8.93  -7.98  -6.91    983    1.0
targetLikelihood           -69.54    0.28   5.35  -79.81 -73.05 -69.66 -66.27 -58.17    363   1.01
Lrescor_B[1,1]                1.0     nan    0.0     1.0    1.0    1.0    1.0    1.0    nan    nan
Lrescor_B[2,1]                0.0     nan    0.0     0.0    0.0    0.0    0.0    0.0    nan    nan
Lrescor_B[1,2]                0.0     nan    0.0     0.0    0.0    0.0    0.0    0.0    nan    nan
Lrescor_B[2,2]                1.0     nan    0.0     1.0    1.0    1.0    1.0    1.0    nan    nan
B_chol[1,1]                  0.83    0.01   0.34    0.29   0.59   0.79   1.03   1.61    840   1.01
B_chol[2,1]                   0.0     nan    0.0     0.0    0.0   -0.0    0.0   -0.0    nan    nan
B_chol[1,2]                   0.0     nan    0.0     0.0    0.0    0.0    0.0    0.0    nan    nan
B_chol[2,2]                  0.02    0.62   0.93   -1.52  -0.79 2.9e-3   0.84   1.51      2   2.72
Sigma_chol[1,1]             -1.12    0.01   0.45   -2.11  -1.39  -1.07  -0.79  -0.39    924   1.01
Sigma_chol[2,1]             -0.78    0.01   0.35   -1.57  -0.98  -0.73  -0.52  -0.22   1098   1.01
