Language	No	Yes
Arabic_2.6	41473	25796
Catalan_2.6	20367	16152
Czech_2.6	105357	36846
Dutch_2.6	12667	6754
Finnish_2.6	30629	8044
French_2.6	42654	19833
Hindi_2.6	18641	9443
Norwegian_2.6	36810	20093
Spanish_2.6	41922	20221
Basque_2.6	9693	2433
Bulgarian_2.6	8047	3255
Croatian_2.6	9289	4384
Estonian_2.6	31001	9793
Hebrew_2.6	7684	1533
Japanese_2.6	56802	8070
Polish_2.6	32797	6973
Romanian_2.6	40508	9221
Slovak_2.6	7181	2000
Slovenian_2.6	9527	2626
Swedish_2.6	10980	6795
Afrikaans_2.6	2033	1304
Chinese_2.6	19013	7717
Danish_2.6	5640	3264
Greek_2.6	2549	1117
Hungarian_2.6	2049	846
North_Sami_2.6	2513	903
Persian_2.6	5797	1694
Serbian_2.6	4982	1956
Turkish_2.6	6319	1497
Ukrainian_2.6	7113	2269
Vietnamese_2.6	3723	1341
Amharic_2.6	846	471
Armenian_2.6	3077	709
Breton_2.6	567	108
Buryat_2.6	717	138
Cantonese_2.6	1063	300
Faroese_2.6	380	84
Kazakh_2.6	866	191
Kurmanji_2.6	553	175
Naija_2.6	8623	4443
Thai_2.6	1892	579
Uyghur_2.6	3564	786
Bambara_2.6	1632	626
Erzya_2.6	1509	239
Maltese_2.6	2586	395
Latvian_2.6	16418	3977
Indonesian_2.6	5873	3079
Urdu_2.6	6222	3132
Portuguese_2.6	23773	10507
English_2.6	28103	13602
Italian_2.6	30565	11430
Russian_2.6	71713	16846
Korean_2.6	31097	2946
Ancient_Greek_2.6	34481	9610
Classical_Chinese_2.6	19423	5785
Gothic_2.6	4943	1026
Icelandic_2.6	1190	484
Latin_2.6	19661	5103
Lithuanian_2.6	4175	773
Mbya_Guarani_2.6	935	88
Old_Church_Slavonic_2.6	5956	1012
Old_French_2.6	15161	6661
Old_Russian_2.6	14464	2636
Sanskrit_2.6	3053	781
Scottish_Gaelic_2.6	2960	531
Welsh_2.6	1154	65
Wolof_2.6	4134	1739
Yoruba_2.6	585	359
Irish_2.6	3491	808
Coptic_2.6	2811	1479
Galician_2.6	6651	3369
Belarusian_2.6	649	230
