Language	No	Yes
Arabic_2.6	15458	51811
Catalan_2.6	12859	23660
Czech_2.6	65838	76365
Dutch_2.6	11544	7877
Finnish_2.6	20535	18138
French_2.6	27159	35328
German_2.6	140927	97341
Hindi_2.6	14030	14054
Norwegian_2.6	24283	32620
Spanish_2.6	22068	40075
Basque_2.6	6007	6119
Bulgarian_2.6	6396	4906
Croatian_2.6	5361	8312
Estonian_2.6	19419	21375
Hebrew_2.6	4324	4893
Japanese_2.6	22353	42519
Polish_2.6	24207	15563
Romanian_2.6	17910	31819
Slovak_2.6	5653	3528
Slovenian_2.6	5461	6692
Swedish_2.6	7722	10053
Afrikaans_2.6	1230	2107
Chinese_2.6	8762	17968
Danish_2.6	3856	5048
Greek_2.6	1364	2302
Hungarian_2.6	1280	1615
North_Sami_2.6	2288	1128
Persian_2.6	3339	4152
Serbian_2.6	2878	4060
Turkish_2.6	4401	3415
Ukrainian_2.6	4348	5034
Vietnamese_2.6	2138	2926
Amharic_2.6	846	471
Armenian_2.6	1314	2472
Breton_2.6	465	210
Buryat_2.6	502	353
Cantonese_2.6	552	811
Faroese_2.6	335	129
Kazakh_2.6	600	457
Kurmanji_2.6	409	319
Naija_2.6	5076	7990
Thai_2.6	765	1706
Uyghur_2.6	2408	1942
Bambara_2.6	961	1297
Erzya_2.6	972	776
Maltese_2.6	947	2034
Latvian_2.6	8589	11806
Indonesian_2.6	3542	5410
Urdu_2.6	4091	5263
Portuguese_2.6	14247	20033
English_2.6	16970	24735
Italian_2.6	17130	24865
Russian_2.6	40397	48162
Korean_2.6	12373	21670
Ancient_Greek_2.6	19289	24802
Classical_Chinese_2.6	18407	6801
Gothic_2.6	2795	3174
Icelandic_2.6	712	962
Latin_2.6	10499	14265
Lithuanian_2.6	1822	3126
Mbya_Guarani_2.6	636	387
Old_Church_Slavonic_2.6	3453	3515
Old_French_2.6	12109	9713
Old_Russian_2.6	10512	6588
Sanskrit_2.6	2608	1226
Scottish_Gaelic_2.6	1451	2040
Welsh_2.6	843	376
Wolof_2.6	1528	4345
Yoruba_2.6	265	679
Irish_2.6	1690	2609
Coptic_2.6	1295	2995
Galician_2.6	3464	6556
Belarusian_2.6	426	453
