Language	No	Yes
Arabic_2.6	44450	19030
Catalan_2.6	24360	8579
Czech_2.6	97536	23814
Dutch_2.6	11437	2171
Finnish_2.6	27454	3602
French_2.6	40914	7686
Hindi_2.6	20990	3029
Norwegian_2.6	32937	5551
Spanish_2.6	44224	10573
Basque_2.6	9062	1327
Bulgarian_2.6	7548	1785
Croatian_2.6	9017	2378
Estonian_2.6	28282	5073
Hebrew_2.6	6699	933
Japanese_2.6	54726	6136
Polish_2.6	28668	4453
Romanian_2.6	35377	4502
Slovak_2.6	6257	1033
Slovenian_2.6	9011	1764
Swedish_2.6	10843	2015
Afrikaans_2.6	2373	411
Chinese_2.6	18602	4116
Danish_2.6	5451	943
Greek_2.6	2561	639
Hungarian_2.6	1970	578
North_Sami_2.6	2254	324
Persian_2.6	5454	1374
Serbian_2.6	4292	1110
Turkish_2.6	6022	664
Ukrainian_2.6	6666	1116
Vietnamese_2.6	3681	1169
Amharic_2.6	639	71
Armenian_2.6	2800	382
Breton_2.6	567	42
Buryat_2.6	649	84
Cantonese_2.6	932	55
Faroese_2.6	321	47
Kazakh_2.6	803	92
Kurmanji_2.6	455	72
Naija_2.6	7636	517
Thai_2.6	1772	246
Uyghur_2.6	3289	436
Bambara_2.6	1295	147
Erzya_2.6	1265	78
Maltese_2.6	2231	229
Latvian_2.6	13641	1820
Indonesian_2.6	6024	937
Urdu_2.6	6927	1056
Portuguese_2.6	23713	4684
English_2.6	26741	2979
Italian_2.6	30107	5221
Russian_2.6	60694	8808
Korean_2.6	29866	2248
Ancient_Greek_2.6	32120	4982
Classical_Chinese_2.6	18547	3750
Gothic_2.6	4207	323
Icelandic_2.6	998	191
Latin_2.6	17656	1826
Lithuanian_2.6	3733	510
Mbya_Guarani_2.6	693	44
Old_Church_Slavonic_2.6	4860	330
Old_French_2.6	14892	1258
Old_Russian_2.6	12233	1147
Sanskrit_2.6	2653	389
Scottish_Gaelic_2.6	1814	83
Welsh_2.6	742	22
Wolof_2.6	3438	331
Yoruba_2.6	504	98
Irish_2.6	2732	238
Coptic_2.6	2051	144
Galician_2.6	7302	1827
Belarusian_2.6	586	127
