Language	No	Yes
Arabic_2.6	7366	7287
Catalan_2.6	6328	4884
Czech_2.6	41221	15436
Dutch_2.6	6448	1636
Finnish_2.6	13750	2435
French_2.6	15089	5303
Hindi_2.6	9662	2015
Norwegian_2.6	13485	3234
Spanish_2.6	12803	5703
Basque_2.6	3983	973
Bulgarian_2.6	3884	1233
Croatian_2.6	3149	1458
Estonian_2.6	12638	3226
Hebrew_2.6	2784	610
Japanese_2.6	17278	2979
Polish_2.6	16550	3327
Romanian_2.6	11741	2452
Slovak_2.6	3582	774
Slovenian_2.6	3682	1033
Swedish_2.6	4297	1260
Afrikaans_2.6	766	279
Chinese_2.6	4819	2036
Danish_2.6	2131	536
Greek_2.6	850	354
Hungarian_2.6	790	315
North_Sami_2.6	1438	257
Persian_2.6	2274	718
Serbian_2.6	1613	729
Turkish_2.6	3159	512
Ukrainian_2.6	2770	724
Vietnamese_2.6	1200	812
Amharic_2.6	448	66
Armenian_2.6	823	208
Breton_2.6	372	38
Buryat_2.6	346	70
Cantonese_2.6	312	18
Faroese_2.6	224	40
Kazakh_2.6	418	74
Kurmanji_2.6	250	50
Naija_2.6	2772	297
Thai_2.6	415	155
Uyghur_2.6	1662	334
Bambara_2.6	454	95
Erzya_2.6	659	59
Maltese_2.6	583	118
Latvian_2.6	4951	1033
Indonesian_2.6	2022	625
Urdu_2.6	2869	640
Portuguese_2.6	8374	3153
English_2.6	9601	1783
Italian_2.6	10792	3646
Russian_2.6	24789	5948
Korean_2.6	10897	885
Ancient_Greek_2.6	12024	3285
Classical_Chinese_2.6	12652	3312
Gothic_2.6	1693	200
Icelandic_2.6	383	145
Latin_2.6	6871	1073
Lithuanian_2.6	1224	306
Mbya_Guarani_2.6	413	37
Old_Church_Slavonic_2.6	1999	203
Old_French_2.6	8739	877
Old_Russian_2.6	6920	854
Sanskrit_2.6	1838	302
Scottish_Gaelic_2.6	829	39
Welsh_2.6	495	17
Wolof_2.6	867	141
Yoruba_2.6	116	47
Irish_2.6	1090	94
Coptic_2.6	548	49
Galician_2.6	2124	1123
Belarusian_2.6	271	98
