Language	No	Yes
Arabic_2.6	43105	16861
Catalan_2.6	23547	9596
Czech_2.6	104160	27220
Dutch_2.6	14054	4863
Finnish_2.6	29518	6209
French_2.6	44656	15087
Hindi_2.6	21630	4553
Norwegian_2.6	41122	13752
Spanish_2.6	42956	12859
Basque_2.6	9373	2196
Bulgarian_2.6	7879	2461
Croatian_2.6	9521	3242
Estonian_2.6	30555	7709
Hebrew_2.6	7516	1280
Japanese_2.6	55675	7581
Polish_2.6	31091	5406
Romanian_2.6	36190	6146
Slovak_2.6	6738	1281
Slovenian_2.6	8610	1714
Swedish_2.6	12265	4653
Afrikaans_2.6	2081	1152
Chinese_2.6	18037	5910
Danish_2.6	6474	1930
Greek_2.6	2517	873
Hungarian_2.6	2082	678
North_Sami_2.6	2610	693
Persian_2.6	5709	1530
Serbian_2.6	5117	1630
Turkish_2.6	5542	956
Ukrainian_2.6	6934	1648
Vietnamese_2.6	3728	1210
Amharic_2.6	926	382
Armenian_2.6	2952	569
Breton_2.6	543	96
Buryat_2.6	706	119
Cantonese_2.6	1020	196
Faroese_2.6	381	69
Kazakh_2.6	850	157
Kurmanji_2.6	558	140
Naija_2.6	9607	2411
Thai_2.6	1777	396
Uyghur_2.6	3511	575
Bambara_2.6	1706	327
Erzya_2.6	1467	176
Maltese_2.6	2451	325
Latvian_2.6	16268	2927
Indonesian_2.6	5708	2508
Urdu_2.6	6984	1641
Portuguese_2.6	23762	8371
English_2.6	29230	9531
Italian_2.6	29250	8699
Russian_2.6	70656	13293
Korean_2.6	29396	2725
Ancient_Greek_2.6	30692	5072
Classical_Chinese_2.6	17780	3810
Gothic_2.6	4112	414
Icelandic_2.6	1239	361
Latin_2.6	16919	2607
Lithuanian_2.6	4078	600
Mbya_Guarani_2.6	888	76
Old_Church_Slavonic_2.6	4896	437
Old_French_2.6	16065	2602
Old_Russian_2.6	12618	1546
Sanskrit_2.6	2732	500
Scottish_Gaelic_2.6	3065	402
Welsh_2.6	1092	56
Wolof_2.6	4485	654
Yoruba_2.6	659	242
Irish_2.6	3445	582
Coptic_2.6	3548	574
Galician_2.6	6856	2028
Belarusian_2.6	655	192
