Language	No	Yes
Arabic_2.6	16412	12259
Catalan_2.6	7871	4655
Czech_2.6	48996	17360
Dutch_2.6	5172	1676
Finnish_2.6	10856	2965
French_2.6	14651	6177
German_2.6	60879	47060
Hindi_2.6	6905	1823
Norwegian_2.6	11420	4006
Spanish_2.6	14677	6411
Basque_2.6	3219	1221
Bulgarian_2.6	3176	1356
Croatian_2.6	4009	1753
Estonian_2.6	11786	4125
Hebrew_2.6	3910	808
Japanese_2.6	26635	5809
Polish_2.6	15003	3575
Romanian_2.6	13064	3023
Slovak_2.6	2431	675
Slovenian_2.6	3209	1176
Swedish_2.6	3477	1500
Afrikaans_2.6	380	382
Chinese_2.6	6029	3221
Danish_2.6	1813	590
Greek_2.6	945	518
Hungarian_2.6	1074	473
North_Sami_2.6	1167	259
Persian_2.6	3306	1250
Serbian_2.6	2311	934
Turkish_2.6	1798	442
Ukrainian_2.6	2547	866
Vietnamese_2.6	1431	1059
Amharic_2.6	189	58
Armenian_2.6	982	325
Breton_2.6	219	41
Buryat_2.6	308	73
Cantonese_2.6	127	35
Faroese_2.6	232	38
Kazakh_2.6	397	76
Kurmanji_2.6	213	56
Naija_2.6	1353	274
Thai_2.6	363	175
Uyghur_2.6	1696	327
Bambara_2.6	465	84
Erzya_2.6	597	52
Maltese_2.6	882	187
Latvian_2.6	6172	1358
Indonesian_2.6	1091	786
Urdu_2.6	2146	633
Portuguese_2.6	7671	3833
English_2.6	5738	2249
Italian_2.6	9386	4140
Russian_2.6	31252	7205
Korean_2.6	11108	2102
Ancient_Greek_2.6	9149	2628
Classical_Chinese_2.6	6281	2606
Gothic_2.6	1023	126
Icelandic_2.6	441	149
Latin_2.6	4392	956
Lithuanian_2.6	1647	415
Mbya_Guarani_2.6	386	40
Old_Church_Slavonic_2.6	1284	130
Old_French_2.6	3252	530
Old_Russian_2.6	3658	610
Sanskrit_2.6	939	252
Scottish_Gaelic_2.6	1310	69
Welsh_2.6	471	20
Wolof_2.6	652	130
Yoruba_2.6	164	65
Irish_2.6	1542	159
Coptic_2.6	481	59
Galician_2.6	2262	1125
Belarusian_2.6	264	105
