Language	SV_NoO	SV_WithO	VS_NoO	VS_WithO
Arabic_2.6	3285	3047	6572	3498
Catalan_2.6	6129	13326	1418	2879
Czech_2.6	39498	26666	23775	10078
Dutch_2.6	7523	5363	2966	1393
Finnish_2.6	13677	7194	3230	487
French_2.6	25164	19418	1989	470
Hindi_2.6	9850	9445	79	10
Norwegian_2.6	20833	17548	7576	2662
Spanish_2.6	13372	17541	4466	2669
Basque_2.6	3991	1957	873	478
Bulgarian_2.6	3261	2882	1413	345
Croatian_2.6	4072	3821	1651	580
Estonian_2.6	11439	7172	6811	2604
Hebrew_2.6	3317	1235	2029	299
Japanese_2.6	5367	1538	0	0
Polish_2.6	13267	5367	6012	1063
Romanian_2.6	13880	7057	7635	2188
Slovak_2.6	2406	1519	1500	465
Slovenian_2.6	2665	1955	1322	670
Swedish_2.6	6020	5895	1865	889
Afrikaans_2.6	1022	1344	18	24
Chinese_2.6	9153	7718	24	0
Danish_2.6	3100	2890	938	472
Greek_2.6	932	929	358	187
Hungarian_2.6	931	710	385	136
North_Sami_2.6	1370	847	561	51
Persian_2.6	3864	1705	24	10
Serbian_2.6	2599	1774	1084	190
Turkish_2.6	2613	1385	107	123
Ukrainian_2.6	2748	1978	1139	286
Vietnamese_2.6	1544	1347	32	13
Amharic_2.6	461	220	344	240
Armenian_2.6	1290	656	240	53
Breton_2.6	130	51	155	57
Buryat_2.6	418	137	2	1
Cantonese_2.6	486	299	5	1
Faroese_2.6	257	71	61	12
Kazakh_2.6	537	188	6	3
Kurmanji_2.6	399	175	2	0
Naija_2.6	5933	4471	75	0
Thai_2.6	744	581	1	0
Uyghur_2.6	2110	787	119	3
Bambara_2.6	1171	575	1	0
Erzya_2.6	596	190	381	49
Maltese_2.6	892	376	467	19
Latvian_2.6	7730	3356	2911	617
Indonesian_2.6	2832	3088	130	5
Urdu_2.6	2980	3014	24	7
Portuguese_2.6	10600	10258	2100	237
English_2.6	15713	13473	1166	32
Italian_2.6	9749	9746	4270	724
Russian_2.6	34427	14743	14245	2088
Korean_2.6	13147	2901	1	0
Ancient_Greek_2.6	9068	6970	4367	2477
Classical_Chinese_2.6	6388	5627	9	0
Gothic_2.6	1384	780	789	243
Icelandic_2.6	708	405	179	80
Latin_2.6	6416	4267	2214	834
Lithuanian_2.6	1653	607	616	168
Mbya_Guarani_2.6	219	34	38	1
Old_Church_Slavonic_2.6	1610	768	1088	243
Old_French_2.6	6063	5779	1907	834
Old_Russian_2.6	3853	1744	2874	889
Sanskrit_2.6	1262	675	231	87
Scottish_Gaelic_2.6	40	5	2882	530
Welsh_2.6	52	6	874	57
Wolof_2.6	2550	1738	4	0
Yoruba_2.6	486	380	4	1
Irish_2.6	348	104	2473	705
Coptic_2.6	2189	1480	300	1
Galician_2.6	2019	3268	743	406
Belarusian_2.6	274	216	134	14
