Language	No	Yes
Arabic_2.6	41754	12259
Catalan_2.6	22276	4655
Czech_2.6	89995	17360
Dutch_2.6	10032	1676
Finnish_2.6	23947	2965
French_2.6	36442	6177
Hindi_2.6	16611	1823
Norwegian_2.6	27657	4006
Spanish_2.6	38858	6411
Basque_2.6	8480	1221
Bulgarian_2.6	6650	1356
Croatian_2.6	8215	1753
Estonian_2.6	25564	4125
Hebrew_2.6	6275	808
Japanese_2.6	53275	5809
Polish_2.6	25584	3575
Romanian_2.6	27867	3023
Slovak_2.6	5092	675
Slovenian_2.6	7446	1176
Swedish_2.6	8874	1500
Afrikaans_2.6	2175	382
Chinese_2.6	15802	3221
Danish_2.6	4323	590
Greek_2.6	2283	518
Hungarian_2.6	1877	473
North_Sami_2.6	2061	259
Persian_2.6	5286	1250
Serbian_2.6	4127	934
Turkish_2.6	4607	442
Ukrainian_2.6	5745	866
Vietnamese_2.6	3644	1059
Amharic_2.6	567	58
Armenian_2.6	2509	325
Breton_2.6	521	41
Buryat_2.6	622	73
Cantonese_2.6	721	35
Faroese_2.6	310	38
Kazakh_2.6	751	76
Kurmanji_2.6	422	56
Naija_2.6	5042	274
Thai_2.6	1433	175
Uyghur_2.6	3032	327
Bambara_2.6	897	84
Erzya_2.6	1149	52
Maltese_2.6	2040	187
Latvian_2.6	12315	1358
Indonesian_2.6	5019	786
Urdu_2.6	5553	633
Portuguese_2.6	21132	3833
English_2.6	21186	2249
Italian_2.6	25492	4140
Russian_2.6	55737	7205
Korean_2.6	28015	2102
Ancient_Greek_2.6	23963	2628
Classical_Chinese_2.6	15242	2606
Gothic_2.6	2546	126
Icelandic_2.6	885	149
Latin_2.6	11662	956
Lithuanian_2.6	3480	415
Mbya_Guarani_2.6	630	40
Old_Church_Slavonic_2.6	3050	130
Old_French_2.6	9134	530
Old_Russian_2.6	9281	610
Sanskrit_2.6	2044	252
Scottish_Gaelic_2.6	1689	69
Welsh_2.6	666	20
Wolof_2.6	2021	130
Yoruba_2.6	410	65
Irish_2.6	2392	159
Coptic_2.6	1148	59
Galician_2.6	6229	1125
Belarusian_2.6	560	105
