Language	SV_Relative	SV_Root	VS_Relative	VS_Root
Arabic_2.6	52	388	1415	1302
Catalan_2.6	502	6382	760	1057
Czech_2.6	3790	25493	3261	16464
Dutch_2.6	353	3339	0	1754
Finnish_2.6	682	6449	189	1952
French_2.6	1255	13702	396	341
Hindi_2.6	722	4928	0	17
Norwegian_2.6	1141	6360	67	2361
Spanish_2.6	934	10044	1208	1977
Basque_2.6	116	2150	1	661
Bulgarian_2.6	132	2274	84	917
Croatian_2.6	272	2686	263	551
Estonian_2.6	702	5729	335	3933
Hebrew_2.6	184	1741	257	1026
Japanese_2.6	1276	2471	0	0
Polish_2.6	314	8889	320	3718
Romanian_2.6	353	5921	417	2522
Slovak_2.6	54	1402	93	887
Slovenian_2.6	188	1823	228	769
Swedish_2.6	317	2219	18	840
Afrikaans_2.6	0	447	0	14
Chinese_2.6	504	4112	2	4
Danish_2.6	254	1052	6	320
Greek_2.6	53	692	114	135
Hungarian_2.6	50	593	22	226
North_Sami_2.6	31	654	21	370
Persian_2.6	200	2589	0	15
Serbian_2.6	151	1631	169	210
Turkish_2.6	130	1399	6	71
Ukrainian_2.6	119	1456	113	677
Vietnamese_2.6	0	1671	0	30
Amharic_2.6	8	172	0	0
Armenian_2.6	73	564	22	74
Breton_2.6	0	103	5	130
Buryat_2.6	27	272	0	1
Cantonese_2.6	6	68	0	0
Faroese_2.6	3	192	0	37
Kazakh_2.6	19	326	0	3
Kurmanji_2.6	8	179	0	1
Naija_2.6	149	762	1	34
Thai_2.6	40	344	0	0
Uyghur_2.6	68	1318	0	92
Bambara_2.6	28	267	0	0
Erzya_2.6	1	241	14	162
Maltese_2.6	47	342	56	68
Latvian_2.6	280	2668	305	1463
Indonesian_2.6	43	1167	3	39
Urdu_2.6	294	1374	0	2
Portuguese_2.6	568	6741	173	905
English_2.6	472	4022	16	535
Italian_2.6	547	6264	299	1940
Russian_2.6	1606	16777	1342	7000
Korean_2.6	3134	5177	0	0
Ancient_Greek_2.6	326	4338	254	2597
Classical_Chinese_2.6	185	6540	0	6
Gothic_2.6	24	358	27	323
Icelandic_2.6	48	297	1	94
Latin_2.6	244	1788	110	1006
Lithuanian_2.6	75	878	65	301
Mbya_Guarani_2.6	1	94	0	15
Old_Church_Slavonic_2.6	30	440	27	431
Old_French_2.6	233	1573	48	967
Old_Russian_2.6	53	1546	68	1587
Sanskrit_2.6	39	678	15	166
Scottish_Gaelic_2.6	0	1	79	652
Welsh_2.6	0	2	36	355
Wolof_2.6	127	342	1	1
Yoruba_2.6	8	99	0	0
Irish_2.6	0	1	153	778
Coptic_2.6	53	121	25	42
Galician_2.6	30	1930	32	289
Belarusian_2.6	12	196	13	55
