Language	objects
Arabic_2.6	0.317994469661
Catalan_2.6	0.442260240171
Czech_2.6	0.259041454248
Dutch_2.6	0.347610947889
Finnish_2.6	0.208697778019
French_2.6	0.317418879528
German_2.6	0.519135734912
Hindi_2.6	0.336301150326
Norwegian_2.6	0.353055217751
Spanish_2.6	0.325450468616
Basque_2.6	0.200991735537
Bulgarian_2.6	0.288265761743
Croatian_2.6	0.320550351288
Estonian_2.6	0.239954836651
Hebrew_2.6	0.166502893329
Japanese_2.6	0.126772241108
Polish_2.6	0.174876914289
Romanian_2.6	0.185283580888
Slovak_2.6	0.219444751687
Slovenian_2.6	0.216298615689
Swedish_2.6	0.381864263588
Afrikaans_2.6	0.391859052248
Chinese_2.6	0.288704182111
Danish_2.6	0.366576819407
Greek_2.6	0.304502046385
Hungarian_2.6	0.292084341514
North_Sami_2.6	0.264428739694
Persian_2.6	0.226138032305
Serbian_2.6	0.282106782107
Turkish_2.6	0.191808961356
Ukrainian_2.6	0.24180284097
Vietnamese_2.6	0.265294001188
Amharic_2.6	0.352941176471
Armenian_2.6	0.187268885367
Breton_2.6	0.16
Buryat_2.6	0.161403508772
Cantonese_2.6	0.220088626292
Faroese_2.6	0.179653679654
Kazakh_2.6	0.180700094607
Kurmanji_2.6	0.240384615385
Naija_2.6	0.341047128469
Thai_2.6	0.234318089842
Uyghur_2.6	0.180689655172
Bambara_2.6	0.267940354147
Erzya_2.6	0.137119908204
Maltese_2.6	0.13259483048
Latvian_2.6	0.195003435751
Indonesian_2.6	0.34366606983
Urdu_2.6	0.334407288079
Portuguese_2.6	0.306732146511
English_2.6	0.326353038125
Italian_2.6	0.270569046756
Russian_2.6	0.190182870318
Korean_2.6	0.0854824860095
Ancient_Greek_2.6	0.217612036738
Classical_Chinese_2.6	0.245870736086
Gothic_2.6	0.174017504719
Icelandic_2.6	0.289127837515
Latin_2.6	0.207674018201
Lithuanian_2.6	0.156224737268
Mbya_Guarani_2.6	0.0852130325814
Old_Church_Slavonic_2.6	0.149156555194
Old_French_2.6	0.307760346353
Old_Russian_2.6	0.155174446016
Sanskrit_2.6	0.209526431718
Scottish_Gaelic_2.6	0.151949541284
Welsh_2.6	0.0513670256835
Wolof_2.6	0.29613222014
Yoruba_2.6	0.380296610169
Irish_2.6	0.187791239515
Coptic_2.6	0.345238095238
