Language	SV_HeadIsLeft	SV_HeadIsRight	SV_Root	VS_HeadIsLeft	VS_HeadIsRight	VS_Root
Arabic_2.6	5725	31	579	8144	134	1748
Catalan_2.6	8893	562	10000	2599	268	1430
Czech_2.6	29279	2333	34553	10726	1479	21648
Dutch_2.6	4814	459	7613	565	69	3725
Finnish_2.6	7182	1166	12530	1107	111	2509
French_2.6	17198	1419	25965	1625	182	652
Hindi_2.6	5229	2064	12002	22	4	63
Norwegian_2.6	19355	1592	17432	4069	255	5914
Spanish_2.6	13722	1187	16003	3847	438	2852
Basque_2.6	1171	1238	3540	194	42	1115
Bulgarian_2.6	1836	391	3916	325	63	1370
Croatian_2.6	3613	218	4062	1486	92	653
Estonian_2.6	7869	805	9938	3611	147	5657
Hebrew_2.6	1664	142	2746	911	125	1292
Japanese_2.6	8	3831	3101	0	0	0
Polish_2.6	5229	664	12741	1701	277	5098
Romanian_2.6	9939	1185	9813	4612	1368	3843
Slovak_2.6	1068	172	2685	430	67	1468
Slovenian_2.6	1617	163	2840	970	75	947
Swedish_2.6	5802	635	5478	752	96	1906
Afrikaans_2.6	1335	43	988	5	0	37
Chinese_2.6	5777	3078	8016	2	18	4
Danish_2.6	3048	352	2590	251	76	1083
Greek_2.6	864	36	961	330	32	183
Hungarian_2.6	737	88	816	206	23	292
North_Sami_2.6	575	36	1606	151	8	453
Persian_2.6	2259	224	3086	14	0	20
Serbian_2.6	1754	88	2531	985	56	233
Turkish_2.6	450	886	2665	41	20	169
Ukrainian_2.6	1818	119	2789	580	51	794
Vietnamese_2.6	919	67	1905	8	0	37
Amharic_2.6	14	215	454	26	202	355
Armenian_2.6	915	58	973	168	22	103
Breton_2.6	19	0	162	24	1	187
Buryat_2.6	93	61	401	1	0	2
Cantonese_2.6	250	119	416	2	0	4
Faroese_2.6	60	11	257	5	2	66
Kazakh_2.6	59	164	502	1	1	7
Kurmanji_2.6	185	38	351	0	0	2
Naija_2.6	4600	1115	4690	16	12	47
Thai_2.6	617	44	664	1	0	0
Uyghur_2.6	94	834	1969	0	4	118
Bambara_2.6	725	157	864	0	0	1
Erzya_2.6	228	19	539	187	12	231
Maltese_2.6	550	70	648	338	44	104
Latvian_2.6	4700	549	5838	1381	202	1945
Indonesian_2.6	2608	153	3160	41	10	84
Urdu_2.6	2091	631	3272	1	6	24
Portuguese_2.6	8709	904	11245	681	147	1509
English_2.6	13046	1640	14501	462	48	688
Italian_2.6	8731	465	10296	1926	306	2761
Russian_2.6	18365	1518	29286	7065	884	8385
Korean_2.6	1661	8337	6050	1	0	0
Ancient_Greek_2.6	5324	1295	9419	2053	958	3833
Classical_Chinese_2.6	945	975	10096	1	1	7
Gothic_2.6	722	227	1215	302	100	630
Icelandic_2.6	552	44	517	64	2	193
Latin_2.6	4145	1640	4898	828	504	1716
Lithuanian_2.6	942	97	1221	376	43	365
Mbya_Guarani_2.6	51	51	153	15	4	23
Old_Church_Slavonic_2.6	667	219	1492	354	143	833
Old_French_2.6	5776	1118	4949	350	380	2011
Old_Russian_2.6	1171	495	3931	593	273	2897
Sanskrit_2.6	381	263	1295	39	50	229
Scottish_Gaelic_2.6	29	0	16	1838	143	1431
Welsh_2.6	50	0	8	208	15	707
Wolof_2.6	2840	219	1229	3	0	1
Yoruba_2.6	566	27	273	4	0	1
Irish_2.6	437	1	15	1576	123	1479
Coptic_2.6	2327	263	1079	135	11	155
Galician_2.6	2730	157	2400	619	34	496
Belarusian_2.6	187	12	291	66	21	61
