AverageLoss	Counter	DH_Mean_NoPunct	DH_Sigma_NoPunct	Dependency	Distance_Mean_NoPunct	Distance_Sigma_NoPunct	FileName	Language	Language_	ModelName
10.0	1990000	6.6498165	0.25225174	acl	1.6706213	0.038858987	9095956	Japanese_2.61	Japanese1	inferRealGrammars.py
10.0	1990000	7.7644753	0.30464336	advcl	2.0644162	0.0201166	9095956	Japanese_2.61	Japanese1	inferRealGrammars.py
10.0	1990000	6.2584577	0.25068277	advmod	1.0449672	0.07505292	9095956	Japanese_2.61	Japanese1	inferRealGrammars.py
10.0	1990000	5.4620266	0.16538736	amod	0.23179926	0.013669416	9095956	Japanese_2.61	Japanese1	inferRealGrammars.py
10.0	1990000	-2.1604302	0.7034431	appos	-2.2219114	0.60454375	9095956	Japanese_2.61	Japanese1	inferRealGrammars.py
10.0	1990000	-4.8907084	-0.031277195	aux	-1.3180143	0.02995996	9095956	Japanese_2.61	Japanese1	inferRealGrammars.py
10.0	1990000	-5.690506	0.027988618	case	-0.5066848	0.033891235	9095956	Japanese_2.61	Japanese1	inferRealGrammars.py
10.0	1990000	-0.70477086	-0.06062639	cc	1.8662487	0.06091377	9095956	Japanese_2.61	Japanese1	inferRealGrammars.py
10.0	1990000	4.017823	0.5062994	ccomp	-0.22798721	0.42046615	9095956	Japanese_2.61	Japanese1	inferRealGrammars.py
10.0	1990000	2.6238294	-0.0042619035	compound	-1.0668007	-0.028637893	9095956	Japanese_2.61	Japanese1	inferRealGrammars.py
10.0	1990000	-6.472746	0.3573262	cop	-1.544487	0.0587171	9095956	Japanese_2.61	Japanese1	inferRealGrammars.py
10.0	1990000	3.2416224	0.5207502	csubj	1.7023485	0.32541513	9095956	Japanese_2.61	Japanese1	inferRealGrammars.py
10.0	1990000	0.23958184	0.04228548	dep	-0.41883028	0.02734657	9095956	Japanese_2.61	Japanese1	inferRealGrammars.py
10.0	1990000	6.1929746	0.3464122	det	0.9935154	0.112966776	9095956	Japanese_2.61	Japanese1	inferRealGrammars.py
10.0	1990000	0.07174658	0.084205896	discourse	1.5148503	0.23843963	9095956	Japanese_2.61	Japanese1	inferRealGrammars.py
10.0	1990000	4.420022	0.41417694	dislocated	3.1773055	0.1525289	9095956	Japanese_2.61	Japanese1	inferRealGrammars.py
10.0	1990000	-5.8232317	0.37545153	fixed	-0.09073003	0.973751	9095956	Japanese_2.61	Japanese1	inferRealGrammars.py
10.0	1990000	7.011867	0.33743778	iobj	0.11937042	0.025267744	9095956	Japanese_2.61	Japanese1	inferRealGrammars.py
10.0	1990000	-6.3097568	0.06512862	mark	-1.6435521	-0.011794472	9095956	Japanese_2.61	Japanese1	inferRealGrammars.py
10.0	1990000	7.699387	0.15929243	nmod	1.405576	-0.031327188	9095956	Japanese_2.61	Japanese1	inferRealGrammars.py
