CoarseDependency	DH_Weight	DependentPOS	DistanceWeight	FileName	HeadPOS	Language	Language_
nsubj	1.636	NOUN	0.87263	1492203	VERB	English_2.6	English
obj	-4.10112	NOUN	1.72992	1492203	VERB	English_2.6	English
nsubj	-1.14555	NOUN	0.14978	1912716	VERB	English_2.6	English
obj	-4.56877	NOUN	1.67183	1912716	VERB	English_2.6	English
nsubj	4.32275	NOUN	0.94689	2511912	VERB	English_2.6	English
obj	-4.7172	NOUN	1.12599	2511912	VERB	English_2.6	English
nsubj	-3.44274	NOUN	0.11895	2616455	VERB	English_2.6	English
obj	3.42726	NOUN	1.51144	2616455	VERB	English_2.6	English
nsubj	3.92745	NOUN	0.48706	2923520	VERB	English_2.6	English
obj	4.03722	NOUN	1.94633	2923520	VERB	English_2.6	English
nsubj	-0.24299	NOUN	-0.00523	4464388	VERB	English_2.6	English
obj	4.2002	NOUN	1.49919	4464388	VERB	English_2.6	English
nsubj	2.54017	NOUN	-0.00536	4727982	VERB	English_2.6	English
obj	-4.44628	NOUN	1.81429	4727982	VERB	English_2.6	English
nsubj	-2.98104	NOUN	1.09937	5423339	VERB	English_2.6	English
obj	5.44138	NOUN	1.23823	5423339	VERB	English_2.6	English
nsubj	3.59967	NOUN	0.74066	6855717	VERB	English_2.6	English
obj	-4.52607	NOUN	1.23868	6855717	VERB	English_2.6	English
nsubj	4.14358	NOUN	0.90483	7733510	VERB	English_2.6	English
obj	4.77976	NOUN	3.04783	7733510	VERB	English_2.6	English
nsubj	2.06842	NOUN	-0.00844	9861305	VERB	English_2.6	English
obj	4.66644	NOUN	2.57986	9861305	VERB	English_2.6	English
nsubj	2.41301	NOUN	-0.36089	3558725	VERB	English_2.6	English
obj	-4.64558	NOUN	1.10139	3558725	VERB	English_2.6	English
nsubj	4.4128	NOUN	0.72377	3662093	VERB	English_2.6	English
obj	-4.86747	NOUN	0.64208	3662093	VERB	English_2.6	English
