"Trajectory"	"Group"	"OSSameSide_TRUE"	"OSSameSide_FALSE"	"OSSameSide_Real_Prob_TRUE"	"OSSameSide_Real_Prob_FALSE"
"1"	"Mandarin"	"Chinese"	0.6	0.1	0.0675373252453634	0.0160982712572698
"2"	"Cantonese"	"Chinese"	0.6	0.4	0.0675373252453634	0.0553220269787792
"3"	"English"	"English"	0.769	0.3	0.49	0.0816786854392221
"4"	"Old_French"	"Romance"	0.7	0.4	0.562505175101528	0.200486221777063
"5"	"French"	"Romance"	0.5	0.7	0.537399860542946	0.562505175101528
"6"	"Spanish"	"Romance"	0.5	0.3	0.537399860542946	0.294788235507695
"7"	"Italian"	"Romance"	0.5	0.2	0.537399860542946	0.258976365908599
"8"	"Catalan"	"Romance"	0.5	0.5	0.537399860542946	0.366131289233684
"9"	"Romanian"	"Romance"	0.5	0.4	0.537399860542946	0.306765062605855
"10"	"Portuguese"	"Romance"	0.5	0.181818181818182	0.537399860542946	0.167575162411551
"11"	"Hindi"	"Hindi/Urdu"	0.5	0.363636363636364	0.680408185778183	0.758837536831639
"12"	"Urdu"	"Hindi/Urdu"	0.5	0.5	0.680408185778183	0.739461161119612
"13"	"Bulgarian"	"South Slavic"	0.6	0.363636363636364	0.451525153690612	0.347988761626033
"14"	"Russian"	"East Slavic"	0.8	0.4	0.478022767210536	0.355193867478513
"15"	"Ukrainian"	"East Slavic"	0.8	0.4	0.478022767210536	0.355981615512675
"16"	"Greek"	"Greek"	0.5	0.3	0.505751000577897	0.351351251121418
