Language	Family
Afrikaans_2.6	Germanic
Amharic_2.6	Semitic
Ancient_Greek_2.6	Greek
Arabic_2.6	Semitic
Armenian_2.6	Armenian
Bambara_2.6	Mande
Basque_2.6	Basque
Breton_2.6	Celtic
Bulgarian_2.6	Slavic
Buryat_2.6	Mongolic
Cantonese_2.6	Sino-Tibetan
Catalan_2.6	Latin_Romance
Chinese_2.6	Sino-Tibetan
Classical_Chinese_2.6	Sino-Tibetan
Coptic_2.6	Egyptian
Croatian_2.6	Slavic
Czech_2.6	Slavic
Danish_2.6	Germanic
Dutch_2.6	Germanic
English_2.6	Germanic
Erzya_2.6	Mordvin
Estonian_2.6	Finnic
Faroese_2.6	Germanic
Finnish_2.6	Finnic
French_2.6	Latin_Romance
German_2.6	Germanic
Gothic_2.6	Germanic
Greek_2.6	Greek
Hebrew_2.6	Semitic
Hindi_2.6	Indic
Hungarian_2.6	Ugric
Icelandic_2.6	Germanic
Indonesian_2.6	Malayo-Sumbawan
Irish_2.6	Celtic
Italian_2.6	Latin_Romance
Japanese_2.6	Japanese
Kazakh_2.6	Turkic
Korean_2.6	Korean
Kurmanji_2.6	Iranian
Latin_2.6	Latin_Romance
Latvian_2.6	Baltic
Lithuanian_2.6	Baltic
Maltese_2.6	Semitic
Mbya_Guarani_2.6	Tupian
Naija_2.6	Creole_Naija
North_Sami_2.6	Sami
Norwegian_2.6	Germanic
Old_Church_Slavonic_2.6	Slavic
Old_French_2.6	Latin_Romance
Old_Russian_2.6	Slavic
Persian_2.6	Iranian
Polish_2.6	Slavic
Portuguese_2.6	Latin_Romance
Romanian_2.6	Latin_Romance
Russian_2.6	Slavic
Sanskrit_2.6	Indic
Scottish_Gaelic_2.6	Celtic
Serbian_2.6	Slavic
Sindhi_2.6	Indic
Slovak_2.6	Slavic
Slovenian_2.6	Slavic
Spanish_2.6	Latin_Romance
Swedish_2.6	Germanic
Thai_2.6	Tai-Kadai
Turkish_2.6	Turkic
Ukrainian_2.6	Slavic
Urdu_2.6	Indic
Uyghur_2.6	Turkic
Vietnamese_2.6	Viet-Muong
Welsh_2.6	Celtic
Wolof_2.6	Northern_Atlantic
Yoruba_2.6	Defoid
