"Language" "Family" "OSSameSide" "OFartherThanS" "OSSameSide_Real" "OSSameSide_Real_Prob"
"1" "Afrikaans_2.6" "Germanic" 0 0.4 TRUE 0.733490022047345
"2" "Amharic_2.6" "Semitic" 0.6 0.9 TRUE 0.537385107584676
"3" "Ancient_Greek_2.6" "Greek" 0.5 0.8 TRUE 0.505751000577897
"4" "Arabic_2.6" "Semitic" 0.3 1 TRUE 0.646268130405137
"5" "Armenian_2.6" "Armenian" 0.6 1 TRUE 0.627918023706465
"6" "Bambara_2.6" "Mande" 0.6 0.4 TRUE 0.989228727521952
"7" "Basque_2.6" "Basque" 0.3 0.8 TRUE 0.722152462569303
"8" "Breton_2.6" "Celtic" 0.9 0.7 TRUE 0.506953747073751
"9" "Bulgarian_2.6" "Slavic" 0.363636363636364 0.818181818181818 FALSE 0.347988761626033
"10" "Buryat_2.6" "Mongolic" 0.545454545454545 0 TRUE 0.7245565111013
"11" "Cantonese_2.6" "Sino-Tibetan" 0.4 0.7 FALSE 0.0553220269787792
"12" "Catalan_2.6" "Latin_Romance" 0.5 1 FALSE 0.366131289233684
"13" "Chinese_2.6" "Sino-Tibetan" 0.1 0.8 FALSE 0.0160982712572698
"14" "Classical_Chinese_2.6" "Sino-Tibetan" 0.6 0 FALSE 0.0675373252453634
"15" "Coptic_2.6" "Egyptian" 0.4 0.9 FALSE 0.0798982068022923
"16" "Croatian_2.6" "Slavic" 0.4 0.6 FALSE 0.360210152680932
"17" "Czech_2.6" "Slavic" 1 1 FALSE 0.424179987310413
"18" "Danish_2.6" "Germanic" 0.333333333333333 1 FALSE 0.201620092910868
"19" "Dutch_2.6" "Germanic" 0.4 0.5 TRUE 0.564685597628611
"20" "English_2.6" "Germanic" 0.3 0.9 FALSE 0.0816786854392221
"21" "Erzya_2.6" "Mordvin" 0.9 0.3 FALSE 0.477796867735314
"22" "Estonian_2.6" "Finnic" 0.7 0.6 FALSE 0.471639040928352
"23" "Faroese_2.6" "Germanic" 0.4 1 FALSE 0.192001006768734
"24" "Finnish_2.6" "Finnic" 0.7 0.9 FALSE 0.36962932531999
"25" "French_2.6" "Latin_Romance" 0.4 0.7 FALSE 0.200486221777063
"26" "German_2.6" "Germanic" 0.7 0.9 TRUE 0.548032358697876
"27" "Gothic_2.6" "Germanic" 0.5 0.3 FALSE 0.452701054757161
"28" "Greek_2.6" "Greek" 0.3 0.9 FALSE 0.351351251121418
"29" "Hebrew_2.6" "Semitic" 0.2 0.7 FALSE 0.313076259436832
"30" "Hindi_2.6" "Indic" 0.363636363636364 0.454545454545455 TRUE 0.758837536831639
"31" "Hungarian_2.6" "Ugric" 0.4 0.6 TRUE 0.535261652236414
"32" "Icelandic_2.6" "Germanic" 0.25 1 FALSE 0.17673511590132
"33" "Indonesian_2.6" "Malayo-Sumbawan" 0.1 1 FALSE 0.0821981035588028
"34" "Irish_2.6" "Celtic" 0.7 0.7 TRUE 0.57739213258682
"35" "Italian_2.6" "Latin_Romance" 0.2 0.7 FALSE 0.258976365908599
"36" "Japanese_2.6" "Japanese" 1 0.6 TRUE 0.999464341990614
"37" "Kazakh_2.6" "Turkic" 0.7 0 TRUE 0.788447365573042
"38" "Korean_2.6" "Korean" 0.9 0.6 TRUE 0.987195348569592
"39" "Kurmanji_2.6" "Iranian" 0.9 0.8 TRUE 0.938183810521532
"40" "Latin_2.6" "Latin_Romance" 0.5 0.5 TRUE 0.537399860542946
"41" "Latvian_2.6" "Baltic" 0.4 1 FALSE 0.411664412483313
"42" "Lithuanian_2.6" "Baltic" 0.4 0.8 FALSE 0.412431362796748
"43" "Maltese_2.6" "Semitic" 0.3 0.8 FALSE 0.303941652048626
"44" "Mbya_Guarani_2.6" "Tupian" 0.8 1 TRUE 0.529045619798164
"45" "Naija_2.6" "Creole_Naija" 0.3 0.6 FALSE 0.0208720700728321
"46" "North_Sami_2.6" "Sami" 0.5 0.9 FALSE 0.376414462590049
"47" "Norwegian_2.6" "Germanic" 0.2 0.9 FALSE 0.234015773219976
"48" "Old_Church_Slavonic_2.6" "Slavic" 0.6 0.3 FALSE 0.451525153690612
"49" "Old_French_2.6" "Latin_Romance" 0.7 1 TRUE 0.562505175101528
"50" "Old_Russian_2.6" "Slavic" 0.8 1 FALSE 0.478022767210536
"51" "Persian_2.6" "Iranian" 0.5 0.9 TRUE 0.967046567243542
"52" "Polish_2.6" "Slavic" 0.6 0.7 FALSE 0.370014661154123
"53" "Portuguese_2.6" "Latin_Romance" 0.181818181818182 0.909090909090909 FALSE 0.167575162411551
"54" "Romanian_2.6" "Latin_Romance" 0.4 1 FALSE 0.306765062605855
"55" "Russian_2.6" "Slavic" 0.4 0.8 FALSE 0.355193867478513
"56" "Sanskrit_2.6" "Indic" 0.5 0.7 TRUE 0.680408185778183
"57" "Scottish_Gaelic_2.6" "Celtic" 0.3 0.8 TRUE 0.651156068765874
"58" "Serbian_2.6" "Slavic" 0.5 0.7 FALSE 0.291902472568086
"59" "Slovak_2.6" "Slavic" 0.545454545454545 0.909090909090909 FALSE 0.39478000162748
"60" "Slovenian_2.6" "Slavic" 0.5 0.75 FALSE 0.454458013615332
"61" "Spanish_2.6" "Latin_Romance" 0.3 1 FALSE 0.294788235507695
"62" "Swedish_2.6" "Germanic" 0.4 0.8 FALSE 0.202763392785575
"63" "Thai_2.6" "Tai-Kadai" 0.2 0.2 FALSE 0.0846105812535957
"64" "Turkish_2.6" "Turkic" 0.4 0.8 TRUE 0.951822999933911
"65" "Ukrainian_2.6" "Slavic" 0.4 0.8 FALSE 0.355981615512675
"66" "Urdu_2.6" "Indic" 0.5 0.7 TRUE 0.739461161119612
"67" "Uyghur_2.6" "Turkic" 0.5 0.3 TRUE 0.942796484883506
"68" "Vietnamese_2.6" "Viet-Muong" 0.1 0.9 FALSE 0.0923860484751526
"69" "Welsh_2.6" "Celtic" 0.6 0.7 TRUE 0.601391360163714
"70" "Wolof_2.6" "Northern_Atlantic" 0.6 0.9 FALSE 0.321382180899331
"71" "Yoruba_2.6" "Defoid" 0.3 0.9 FALSE 0.100818308412234
