CoarseDependency	DH_Weight	DependentPOS	DistanceWeight	FileName	HeadPOS	Language	Language_
obj	10.04612	any	-1.86343	9350207	any	Thai_2.8	Thai
nsubj	-6.3523	any	1.63142	9350207	any	Thai_2.8	Thai
obj	-10.04182	any	-0.89179	451743	any	Kiche_2.8	Kiche
nsubj	-7.06569	any	1.63998	451743	any	Kiche_2.8	Kiche
obj	10.01319	any	-1.52095	4479744	any	Komi_Zyrian_2.8	Komi_Zyrian
nsubj	-6.11797	any	0.06115	4479744	any	Komi_Zyrian_2.8	Komi_Zyrian
obj	-9.96965	any	1.72808	2196675	any	Mbya_Guarani_2.8	Mbya_Guarani
nsubj	-5.03389	any	-2.45915	2196675	any	Mbya_Guarani_2.8	Mbya_Guarani
obj	10.00509	any	0.44162	2996196	any	Bulgarian_2.8	Bulgarian
nsubj	-1.62554	any	-0.58046	2996196	any	Bulgarian_2.8	Bulgarian
obj	10.00569	any	1.42739	8381352	any	Arabic_2.8	Arabic
nsubj	-0.838	any	-1.02502	8381352	any	Arabic_2.8	Arabic
obj	-10.00683	any	0.69249	9246318	any	French_2.8	French
nsubj	1.85	any	-0.3456	9246318	any	French_2.8	French
obj	10.0632	any	0.02178	3786141	any	Polish_2.8	Polish
nsubj	-6.26193	any	1.19401	3786141	any	Polish_2.8	Polish
obj	10.00192	any	-0.21282	3165415	any	Latvian_2.8	Latvian
nsubj	-2.37591	any	-0.88358	3165415	any	Latvian_2.8	Latvian
obj	-10.00647	any	-0.07213	4455174	any	Latin_2.8	Latin
nsubj	0.27713	any	-0.12946	4455174	any	Latin_2.8	Latin
obj	-10.01248	any	-1.07756	7372669	any	Bulgarian_2.8	Bulgarian
nsubj	6.21171	any	1.18928	7372669	any	Bulgarian_2.8	Bulgarian
obj	-9.96829	any	0.62729	2048433	any	Latvian_2.8	Latvian
nsubj	-5.50742	any	-2.27266	2048433	any	Latvian_2.8	Latvian
obj	-9.981	any	1.1733	4034180	any	Arabic_2.8	Arabic
nsubj	4.87338	any	-0.25828	4034180	any	Arabic_2.8	Arabic
obj	-10.00017	any	0.27155	1208607	any	Armenian_2.8	Armenian
nsubj	0.83875	any	-0.46172	1208607	any	Armenian_2.8	Armenian
obj	-10.02862	any	1.52669	2107092	any	Swedish_2.8	Swedish
nsubj	-6.06318	any	-1.65557	2107092	any	Swedish_2.8	Swedish
obj	10.00281	any	0.41526	1403181	any	Estonian_2.8	Estonian
nsubj	-1.57646	any	-0.2095	1403181	any	Estonian_2.8	Estonian
obj	-9.99317	any	-1.12537	4145182	any	Bulgarian_2.8	Bulgarian
nsubj	5.79252	any	1.6495	4145182	any	Bulgarian_2.8	Bulgarian
obj	9.9104	any	1.84267	928914	any	Arabic_2.8	Arabic
nsubj	-4.59327	any	0.98415	928914	any	Arabic_2.8	Arabic
obj	-9.99852	any	0.48071	3286866	any	French_2.8	French
nsubj	2.25754	any	-0.50534	3286866	any	French_2.8	French
obj	-10.00294	any	0.41673	4783790	any	Bulgarian_2.8	Bulgarian
nsubj	1.89091	any	-0.50491	4783790	any	Bulgarian_2.8	Bulgarian
obj	-10.12283	any	0.5052	7245385	any	Vietnamese_2.8	Vietnamese
nsubj	6.09534	any	0.52951	7245385	any	Vietnamese_2.8	Vietnamese
obj	-10.05904	any	1.52567	5192347	any	Old_East_Slavic_2.8	Old_East_Slavic
nsubj	-5.90286	any	-0.09276	5192347	any	Old_East_Slavic_2.8	Old_East_Slavic
obj	-9.95787	any	-0.54284	1837777	any	Old_French_2.8	Old_French
nsubj	5.35341	any	1.38807	1837777	any	Old_French_2.8	Old_French
obj	-9.99668	any	0.32351	2224772	any	Chinese_2.8	Chinese
nsubj	2.27861	any	-0.44412	2224772	any	Chinese_2.8	Chinese
obj	-9.99453	any	1.6035	6679371	any	Maltese_2.8	Maltese
nsubj	-5.67421	any	-1.04311	6679371	any	Maltese_2.8	Maltese
obj	-9.99063	any	1.9493	4479862	any	Armenian_2.8	Armenian
nsubj	-5.49165	any	-1.13983	4479862	any	Armenian_2.8	Armenian
obj	9.88705	any	0.08217	9622003	any	English_2.8	English
nsubj	-5.98464	any	0.96169	9622003	any	English_2.8	English
obj	-9.99582	any	3.67108	7621169	any	Urdu_2.8	Urdu
nsubj	5.50483	any	0.59379	7621169	any	Urdu_2.8	Urdu
obj	9.99589	any	0.63395	6538466	any	Mbya_Guarani_2.8	Mbya_Guarani
nsubj	5.39527	any	-1.38342	6538466	any	Mbya_Guarani_2.8	Mbya_Guarani
obj	10.03074	any	0.80581	2895274	any	Slovenian_2.8	Slovenian
