"Language" "Family" "OSSameSideSum" "OSSameSideTotal" "OSSameSide" "OFartherThanS" "Model" "Congruence_All" "Congruence_VN" "Congruence_VP" "Congruence_V" "Congruence_VProp"
"1" "Afrikaans_2.8" "Germanic" 0 15 0 0.4 537627449 0.754519073114 0.821676553711 0.761207905476 0.811601036855 0.699994394802
"2" "Akkadian_2.8" "Semitic" 14 15 0.933333333333333 0 901213508 0.861618769312 0.893599117735 0.376068355391 0.865604813852 0.97540885654
"3" "Amharic_2.8" "Semitic" 0 15 0 0.933333333333333 906884695 0.543332456905 0.988505747126 0.589592873116 0.527453981716 0.999988226776
"4" "Ancient_Greek_2.8" "Greek" 5 15 0.333333333333333 0.333333333333333 329794773 0.509714012455 0.493083666945 0.623591034637 0.511552640853 0.456355747055
"5" "Arabic_2.8" "Semitic" 0 15 0 0.933333333333333 465921054 0.654840175027 0.789646767633 0.194200578407 0.72541272788 0.817745634982
"6" "Armenian_2.8" "Armenian" 5 15 0.333333333333333 0.8 833815302 0.565030162013 0.548960769203 0.706202525784 0.568057739087 0.509833453223
"7" "Bambara_2.8" "Mande" 8 15 0.533333333333333 0.533333333333333 950375737 0.99795155399 1 0.999999716893 0.997947341597 0.984366542345
"8" "Basque_2.8" "Basque" 3 15 0.2 0.666666666666667 453993323 0.716575677651 0.727388228203 0.834355225481 0.727135287544 0.702587154546
"9" "Belarusian_2.8" "Slavic" 9 16 0.5625 0.8125 945372509 0.37057189916 0.40269225093 0.668978282918 0.36437216753 0.377455654222
"10" "Breton_2.8" "Celtic" 7 15 0.466666666666667 0.666666666666667 677469114 0.512327045808 0.553838807599 0.436363253538 0.53254704694 0.634783746684
"11" "Bulgarian_2.8" "Slavic" 3 15 0.2 0.466666666666667 309377861 0.334927779153 0.295424958155 0.754012599466 0.325394080367 0.322098330316
"12" "Buryat_2.8" "Mongolic" 1 15 0.0666666666666667 0.0666666666666667 279179116 0.981935471825 0.984389316395 0.969692975739 0.983063473352 0.986474342737
"13" "Cantonese_2.8" "Sino-Tibetan" 2 15 0.133333333333333 0.866666666666667 487783911 0.0458157003988 0.00158982511924 0.00996694186596 0.00867459394842 4.5454338844e-06
"14" "Catalan_2.8" "Latin_Romance" 0 15 0 0.333333333333333 891758615 0.362448286654 0.265594715714 0.860540525778 0.375509656593 0.200912690269
"15" "Chinese_2.8" "Sino-Tibetan" 0 15 0 0.8 378191215 0.00565675430458 0.00289307347884 0.00305683894623 0.00249623094801 0.00193711779356
"16" "Classical_Chinese_2.8" "Sino-Tibetan" 1 15 0.0666666666666667 0 704706451 0.0202998774356 0.00705694024461 0.104903347522 0.0202478489675 0.00264902203409
"17" "Coptic_2.8" "Egyptian" 7 15 0.466666666666667 0.666666666666667 342355677 0.102395092879 0.194956486541 0.0550792659112 0.0788946596671 0.26190651927
"18" "Croatian_2.8" "Slavic" 0 15 0 0.4 577142638 0.365758914232 0.315318559652 0.732131506102 0.360748264545 0.377139353283
"19" "Czech_2.8" "Slavic" 4 15 0.266666666666667 0.8 773011157 0.433551254474 0.438166502578 0.709846486426 0.439353801921 0.452628516407
"20" "Danish_2.8" "Germanic" 1 15 0.0666666666666667 0.8 216057648 0.199876837384 0.179220212425 0.286199941281 0.222686152627 0.359275112474
"21" "Dutch_2.8" "Germanic" 4 15 0.266666666666667 0.466666666666667 714590037 0.553593962335 0.52489845653 0.641912075531 0.543783652219 0.514027414938
"22" "English_2.8" "Germanic" 1 15 0.0666666666666667 0.533333333333333 694901542 0.0729201181435 0.12261098877 0.138691384478 0.0720849798385 0.0537579966463
"23" "Erzya_2.8" "Mordvin" 11 15 0.733333333333333 0.8 843735253 0.476249789268 0.487182601016 0.634021152542 0.474192515462 0.388250458661
"24" "Estonian_2.8" "Finnic" 7 15 0.466666666666667 0.8 50353485 0.467039206647 0.463275497373 0.61677773359 0.461984813881 0.480322146437
"25" "Faroese_2.8" "Germanic" 6 15 0.4 0.666666666666667 436318553 0.268417394082 0.227152446932 0.303776521783 0.273059003957 0.188097770235
"26" "Finnish_2.8" "Finnic" 0 15 0 0.6 471186946 0.36579177966 0.357388798827 0.52877328524 0.360018167859 0.384488339127
"27" "French_2.8" "Latin_Romance" 1 15 0.0666666666666667 0.733333333333333 47422331 0.176083754346 0.0713803477628 0.863233626012 0.180137306223 0.0925765719956
"28" "Galician_2.8" "Latin_Romance" 0 15 0 0.666666666666667 905213407 0.294175948537 0.225810722919 0.758784686134 0.298883456421 0.263681775204
