"Language" "FileName" "CoarseDependency.x" "DH_Weight.x" "DistanceWeight.x" "Language_.x" "CoarseDependency.y" "DH_Weight.y" "DistanceWeight.y" "Language_.y" "OFartherThanS" "OSSameSide" "Order" "Family"
"1" "Afrikaans_2.6" 1386033 "obj" 5.7586 -0.39732 "Afrikaans" "nsubj" -3.82883 0.44986 "Afrikaans" FALSE FALSE "SVO" "Germanic"
"2" "Afrikaans_2.6" 3466623 "obj" 0.7846 0.63869 "Afrikaans" "nsubj" -0.4783 -0.12697 "Afrikaans" TRUE FALSE "SVO" "Germanic"
"3" "Afrikaans_2.6" 4049192 "obj" -4.66621 1.39117 "Afrikaans" "nsubj" 1.96207 -0.6609 "Afrikaans" TRUE FALSE "SVO" "Germanic"
"4" "Afrikaans_2.6" 4160894 "obj" -0.06923 0.85194 "Afrikaans" "nsubj" 0.25553 -0.38787 "Afrikaans" TRUE FALSE "SVO" "Germanic"
"5" "Afrikaans_2.6" 5228512 "obj" 5.75388 -0.18288 "Afrikaans" "nsubj" -3.71006 1.03676 "Afrikaans" FALSE FALSE "SVO" "Germanic"
"6" "Afrikaans_2.6" 5512431 "obj" -5.57714 -0.40779 "Afrikaans" "nsubj" 3.92665 0.62228 "Afrikaans" FALSE FALSE "SVO" "Germanic"
"7" "Afrikaans_2.6" 6516921 "obj" 5.6368 0.08715 "Afrikaans" "nsubj" -4.6707 0.36278 "Afrikaans" FALSE FALSE "SVO" "Germanic"
"8" "Afrikaans_2.6" 7208966 "obj" 5.46318 -0.84598 "Afrikaans" "nsubj" -4.3725 0.09984 "Afrikaans" FALSE FALSE "SVO" "Germanic"
"9" "Afrikaans_2.6" 7375324 "obj" -5.59474 -0.2269 "Afrikaans" "nsubj" 3.79178 1.60542 "Afrikaans" FALSE FALSE "SVO" "Germanic"
"10" "Afrikaans_2.6" 7574668 "obj" 5.50021 0.30683 "Afrikaans" "nsubj" -4.44365 1.41942 "Afrikaans" FALSE FALSE "SVO" "Germanic"
