"Language" "Family" "OSSameSideSum" "OSSameSideTotal" "OSSameSide" "OFartherThanS" "OSSameSide_Real" "OSSameSide_Real_Prob"
"1" "Afrikaans_2.6" "Germanic" 0 15 0 0.466666666666667 TRUE 0.733490022047345
"2" "Amharic_2.6" "Semitic" 8 15 0.533333333333333 0.8 TRUE 0.537385107584676
"3" "Ancient_Greek_2.6" "Greek" 10 15 0.666666666666667 0.866666666666667 TRUE 0.505751000577897
"4" "Arabic_2.6" "Semitic" 6 15 0.4 1 TRUE 0.646268130405137
"5" "Armenian_2.6" "Armenian" 7 15 0.466666666666667 1 TRUE 0.627918023706465
"6" "Bambara_2.6" "Mande" 11 15 0.733333333333333 0.333333333333333 TRUE 0.989228727521952
"7" "Basque_2.6" "Basque" 7 15 0.466666666666667 0.8 TRUE 0.722152462569303
"8" "Belarusian_2.6" "Slavic" 10 15 0.666666666666667 0.8 FALSE 0.234761472519695
"9" "Breton_2.6" "Celtic" 13 15 0.866666666666667 0.8 TRUE 0.506953747073751
"10" "Bulgarian_2.6" "Slavic" 6 15 0.4 0.866666666666667 FALSE 0.347988761626033
"11" "Buryat_2.6" "Mongolic" 7 15 0.466666666666667 0 TRUE 0.7245565111013
"12" "Cantonese_2.6" "Sino-Tibetan" 4 15 0.266666666666667 0.8 FALSE 0.0553220269787792
"13" "Catalan_2.6" "Latin_Romance" 6 15 0.4 1 FALSE 0.366131289233684
"14" "Chinese_2.6" "Sino-Tibetan" 2 15 0.133333333333333 0.733333333333333 FALSE 0.0160982712572698
"15" "Classical_Chinese_2.6" "Sino-Tibetan" 6 15 0.4 0 FALSE 0.0675373252453634
"16" "Coptic_2.6" "Egyptian" 7 15 0.466666666666667 0.933333333333333 FALSE 0.0819892694896112
"17" "Croatian_2.6" "Slavic" 9 15 0.6 0.733333333333333 FALSE 0.360210152680932
"18" "Czech_2.6" "Slavic" 13 15 0.866666666666667 1 FALSE 0.424179987310413
"19" "Danish_2.6" "Germanic" 6 15 0.4 1 FALSE 0.201620092910868
"20" "Dutch_2.6" "Germanic" 5 15 0.333333333333333 0.533333333333333 TRUE 0.564685597628611
"21" "English_2.6" "Germanic" 4 15 0.266666666666667 0.866666666666667 FALSE 0.0816786854392221
"22" "Erzya_2.6" "Mordvin" 12 15 0.8 0.266666666666667 FALSE 0.477796867735314
"23" "Estonian_2.6" "Finnic" 13 17 0.764705882352941 0.705882352941177 FALSE 0.471639040928352
"24" "Faroese_2.6" "Germanic" 7 15 0.466666666666667 1 FALSE 0.192001006768734
"25" "Finnish_2.6" "Finnic" 10 15 0.666666666666667 0.933333333333333 FALSE 0.36962932531999
"26" "French_2.6" "Latin_Romance" 5 15 0.333333333333333 0.733333333333333 FALSE 0.200486221777063
"27" "Galician_2.6" "Latin_Romance" 9 15 0.6 0.933333333333333 FALSE 0.292093980032101
"28" "German_2.6" "Germanic" 8 15 0.533333333333333 0.933333333333333 TRUE 0.548032358697876
"29" "Gothic_2.6" "Germanic" 7 15 0.466666666666667 0.333333333333333 FALSE 0.452701054757161
"30" "Greek_2.6" "Greek" 3 15 0.2 0.866666666666667 FALSE 0.351351251121418
"31" "Hebrew_2.6" "Semitic" 3 15 0.2 0.733333333333333 FALSE 0.313076259436832
"32" "Hindi_2.6" "Indic" 5 15 0.333333333333333 0.533333333333333 TRUE 0.758837536831639
"33" "Hungarian_2.6" "Ugric" 7 15 0.466666666666667 0.6 TRUE 0.535261652236414
"34" "Icelandic_2.6" "Germanic" 4 15 0.266666666666667 1 FALSE 0.17673511590132
