"Language" "FileName" "CoarseDependency.x" "DH_Weight.x" "DependentPOS.x" "DistanceWeight.x" "HeadPOS.x" "Language_.x" "CoarseDependency.y" "DH_Weight.y" "DependentPOS.y" "DistanceWeight.y" "HeadPOS.y" "Language_.y" "OFartherThanS" "OSSameSide" "Order" "Family"
"1" "Afrikaans_2.8" 1931383 "obj" 9.99733 "any" 0.76896 "any" "Afrikaans" "nsubj" -5.83637 "any" 1.45934 "any" "Afrikaans" FALSE FALSE "SVO" "Germanic"
"2" "Afrikaans_2.8" 2890120 "obj" -9.99923 "any" -0.72838 "any" "Afrikaans" "nsubj" 6.01992 "any" 2.64572 "any" "Afrikaans" FALSE FALSE "SVO" "Germanic"
"3" "Afrikaans_2.8" 2893922 "obj" -10.00933 "any" 0.76634 "any" "Afrikaans" "nsubj" 2.07404 "any" -0.21943 "any" "Afrikaans" TRUE FALSE "SVO" "Germanic"
"4" "Afrikaans_2.8" 2936848 "obj" 10.00567 "any" 0.91708 "any" "Afrikaans" "nsubj" -1.66241 "any" -0.19649 "any" "Afrikaans" TRUE FALSE "SVO" "Germanic"
"5" "Afrikaans_2.8" 319331 "obj" 9.98634 "any" -0.07623 "any" "Afrikaans" "nsubj" -5.30713 "any" 2.10113 "any" "Afrikaans" FALSE FALSE "SVO" "Germanic"
"6" "Afrikaans_2.8" 5147187 "obj" 10.01912 "any" -0.47826 "any" "Afrikaans" "nsubj" -6.20113 "any" 1.77428 "any" "Afrikaans" FALSE FALSE "SVO" "Germanic"
"7" "Afrikaans_2.8" 5236934 "obj" -9.99641 "any" 0.62087 "any" "Afrikaans" "nsubj" 2.10758 "any" -0.17368 "any" "Afrikaans" TRUE FALSE "SVO" "Germanic"
"8" "Afrikaans_2.8" 5454696 "obj" -10.094 "any" -0.06984 "any" "Afrikaans" "nsubj" 5.89772 "any" 2.11067 "any" "Afrikaans" FALSE FALSE "SVO" "Germanic"
"9" "Afrikaans_2.8" 6041679 "obj" 9.99756 "any" -0.29177 "any" "Afrikaans" "nsubj" -5.61698 "any" 1.28397 "any" "Afrikaans" FALSE FALSE "SVO" "Germanic"
"10" "Afrikaans_2.8" 6591966 "obj" 10.01234 "any" 0.45488 "any" "Afrikaans" "nsubj" -5.388 "any" 1.98458 "any" "Afrikaans" FALSE FALSE "SVO" "Germanic"
"11" "Afrikaans_2.8" 7667647 "obj" -10.00176 "any" -0.68375 "any" "Afrikaans" "nsubj" 5.63753 "any" 2.16899 "any" "Afrikaans" FALSE FALSE "SVO" "Germanic"
"12" "Afrikaans_2.8" 7812293 "obj" -9.90753 "any" -0.00873 "any" "Afrikaans" "nsubj" 6.02809 "any" 1.50073 "any" "Afrikaans" FALSE FALSE "SVO" "Germanic"
"13" "Afrikaans_2.8" 813422 "obj" -9.99209 "any" 0.55751 "any" "Afrikaans" "nsubj" 2.60135 "any" 0.23819 "any" "Afrikaans" TRUE FALSE "SVO" "Germanic"
"14" "Afrikaans_2.8" 9231868 "obj" -10.00833 "any" 0.60502 "any" "Afrikaans" "nsubj" 2.34854 "any" 0.09873 "any" "Afrikaans" TRUE FALSE "SVO" "Germanic"
"15" "Afrikaans_2.8" 9601590 "obj" 10.0013 "any" 0.70657 "any" "Afrikaans" "nsubj" -1.89686 "any" -0.46779 "any" "Afrikaans" TRUE FALSE "SVO" "Germanic"
"16" "Akkadian_2.8" 1188961 "obj" -9.99783 "any" -0.42736 "any" "Akkadian" "nsubj" -0.12924 "any" -0.35088 "any" "Akkadian" FALSE TRUE "SOV" "Semitic"
"17" "Akkadian_2.8" 1814641 "obj" 10.03556 "any" -1.82649 "any" "Akkadian" "nsubj" 4.33241 "any" 0.41989 "any" "Akkadian" FALSE TRUE "SOV" "Semitic"
"18" "Akkadian_2.8" 2269406 "obj" 10.00213 "any" -0.71936 "any" "Akkadian" "nsubj" 0.74929 "any" -0.32538 "any" "Akkadian" FALSE TRUE "SOV" "Semitic"
"19" "Akkadian_2.8" 4806397 "obj" -10.00128 "any" -0.55048 "any" "Akkadian" "nsubj" -0.37779 "any" -0.40924 "any" "Akkadian" FALSE TRUE "SOV" "Semitic"
"20" "Akkadian_2.8" 5434689 "obj" 10.01491 "any" -1.50228 "any" "Akkadian" "nsubj" 4.385 "any" 0.60186 "any" "Akkadian" FALSE TRUE "SOV" "Semitic"
"21" "Akkadian_2.8" 5704312 "obj" -10.0496 "any" -1.75648 "any" "Akkadian" "nsubj" -4.64707 "any" 1.06646 "any" "Akkadian" FALSE TRUE "SOV" "Semitic"
"22" "Akkadian_2.8" 6470145 "obj" 10.05266 "any" -1.16083 "any" "Akkadian" "nsubj" 4.39114 "any" 1.83823 "any" "Akkadian" FALSE TRUE "SOV" "Semitic"
"23" "Akkadian_2.8" 6654491 "obj" -10.10587 "any" -2.35451 "any" "Akkadian" "nsubj" -4.37057 "any" 1.17336 "any" "Akkadian" FALSE TRUE "SOV" "Semitic"
"24" "Akkadian_2.8" 6729805 "obj" -9.98683 "any" -2.35373 "any" "Akkadian" "nsubj" -4.62385 "any" 0.25488 "any" "Akkadian" FALSE TRUE "SOV" "Semitic"
"25" "Akkadian_2.8" 7356561 "obj" 10.09783 "any" -1.19268 "any" "Akkadian" "nsubj" 4.39545 "any" 1.52589 "any" "Akkadian" FALSE TRUE "SOV" "Semitic"
"26" "Akkadian_2.8" 7775831 "obj" -9.99331 "any" -0.85918 "any" "Akkadian" "nsubj" -0.63565 "any" -0.24773 "any" "Akkadian" FALSE TRUE "SOV" "Semitic"
"27" "Akkadian_2.8" 8281922 "obj" 10.03622 "any" -1.30065 "any" "Akkadian" "nsubj" -1.92834 "any" -1.21617 "any" "Akkadian" FALSE FALSE "SVO" "Semitic"
"28" "Akkadian_2.8" 8425451 "obj" -9.9943 "any" -0.70652 "any" "Akkadian" "nsubj" -0.38319 "any" -0.24136 "any" "Akkadian" FALSE TRUE "SOV" "Semitic"
"29" "Akkadian_2.8" 8708962 "obj" -9.99885 "any" -2.08495 "any" "Akkadian" "nsubj" -4.87359 "any" 0.42691 "any" "Akkadian" FALSE TRUE "SOV" "Semitic"
"30" "Akkadian_2.8" 9289787 "obj" 10.00367 "any" -0.73928 "any" "Akkadian" "nsubj" 0.57004 "any" -0.10286 "any" "Akkadian" FALSE TRUE "SOV" "Semitic"
"31" "Amharic_2.8" 1309065 "obj" 10.06809 "any" 0.92532 "any" "Amharic" "nsubj" -6.87424 "any" -1.12855 "any" "Amharic" TRUE FALSE "SVO" "Semitic"
"32" "Amharic_2.8" 1552992 "obj" 10.00052 "any" 0.86863 "any" "Amharic" "nsubj" -3.27894 "any" -1.30258 "any" "Amharic" TRUE FALSE "SVO" "Semitic"
"33" "Amharic_2.8" 1606311 "obj" 10.01708 "any" 0.00897 "any" "Amharic" "nsubj" -6.50361 "any" 0.37903 "any" "Amharic" FALSE FALSE "SVO" "Semitic"
"34" "Amharic_2.8" 2338673 "obj" -10.01729 "any" -0.1444 "any" "Amharic" "nsubj" 6.47048 "any" -1.47236 "any" "Amharic" TRUE FALSE "SVO" "Semitic"
"35" "Amharic_2.8" 2449740 "obj" -9.99069 "any" 0.88301 "any" "Amharic" "nsubj" 3.64573 "any" -1.16586 "any" "Amharic" TRUE FALSE "SVO" "Semitic"
"36" "Amharic_2.8" 2939096 "obj" -9.99413 "any" 0.99303 "any" "Amharic" "nsubj" 3.71145 "any" -1.35117 "any" "Amharic" TRUE FALSE "SVO" "Semitic"
"37" "Amharic_2.8" 3221296 "obj" -10.01705 "any" 0.80745 "any" "Amharic" "nsubj" 7.02223 "any" -0.37423 "any" "Amharic" TRUE FALSE "SVO" "Semitic"
"38" "Amharic_2.8" 4427470 "obj" 9.99368 "any" 1.04719 "any" "Amharic" "nsubj" -3.4487 "any" -1.27781 "any" "Amharic" TRUE FALSE "SVO" "Semitic"
"39" "Amharic_2.8" 4436919 "obj" -9.99966 "any" 1.19147 "any" "Amharic" "nsubj" 3.33026 "any" -1.34836 "any" "Amharic" TRUE FALSE "SVO" "Semitic"
"40" "Amharic_2.8" 5134858 "obj" 9.99854 "any" 0.87598 "any" "Amharic" "nsubj" -3.47412 "any" -1.66942 "any" "Amharic" TRUE FALSE "SVO" "Semitic"
"41" "Amharic_2.8" 5882892 "obj" -10.11495 "any" 0.55594 "any" "Amharic" "nsubj" 6.42679 "any" -0.19029 "any" "Amharic" TRUE FALSE "SVO" "Semitic"
"42" "Amharic_2.8" 6557037 "obj" -9.9767 "any" 0.94142 "any" "Amharic" "nsubj" 6.70501 "any" -1.54903 "any" "Amharic" TRUE FALSE "SVO" "Semitic"
"43" "Amharic_2.8" 8772814 "obj" 10.00473 "any" 0.81226 "any" "Amharic" "nsubj" -3.61728 "any" -1.46181 "any" "Amharic" TRUE FALSE "SVO" "Semitic"
"44" "Amharic_2.8" 9406078 "obj" 10.00121 "any" 1.04118 "any" "Amharic" "nsubj" -3.29453 "any" -1.19781 "any" "Amharic" TRUE FALSE "SVO" "Semitic"
