AverageLoss	Counter	DH_Mean_NoPunct	DH_Sigma_NoPunct	Dependency	Distance_Mean_NoPunct	Distance_Sigma_NoPunct	FileName	Language	Language_	ModelName
10.0	1990000	-2.5424507	0.40756768	acl	2.611121	0.6409904	4734735	Hungarian_2.6	Hungarian	inferRealGrammars.py
10.0	1990000	-0.68209904	0.19742952	advcl	2.2120638	0.29308394	4734735	Hungarian_2.6	Hungarian	inferRealGrammars.py
10.0	1990000	2.009874	0.1516884	advmod	-0.4729895	0.08580696	4734735	Hungarian_2.6	Hungarian	inferRealGrammars.py
10.0	1990000	4.9376335	0.26589468	amod	-3.4382179	0.16024727	4734735	Hungarian_2.6	Hungarian	inferRealGrammars.py
10.0	1990000	-1.4240835	0.33444706	appos	-0.21726118	0.43554753	4734735	Hungarian_2.6	Hungarian	inferRealGrammars.py
10.0	1990000	0.25200137	0.78503394	aux	-1.3704251	0.750527	4734735	Hungarian_2.6	Hungarian	inferRealGrammars.py
10.0	1990000	-4.0875726	0.43304676	case	2.746124	0.42889318	4734735	Hungarian_2.6	Hungarian	inferRealGrammars.py
10.0	1990000	1.3273034	0.089429975	cc	1.0671822	0.119854845	4734735	Hungarian_2.6	Hungarian	inferRealGrammars.py
10.0	1990000	-1.7997873	0.24762872	ccomp	1.6798273	0.36065742	4734735	Hungarian_2.6	Hungarian	inferRealGrammars.py
10.0	1990000	-1.0396444	0.17510642	compound	-3.0309138	0.3552056	4734735	Hungarian_2.6	Hungarian	inferRealGrammars.py
10.0	1990000	-4.615575	0.4184821	conj	2.3817253	0.24145815	4734735	Hungarian_2.6	Hungarian	inferRealGrammars.py
10.0	1990000	-0.68232	0.36203066	cop	-1.5480449	0.40745568	4734735	Hungarian_2.6	Hungarian	inferRealGrammars.py
10.0	1990000	-2.257919	0.44134888	csubj	1.7295643	0.50625974	4734735	Hungarian_2.6	Hungarian	inferRealGrammars.py
10.0	1990000	5.3398557	0.33883548	det	-0.44759163	0.10576091	4734735	Hungarian_2.6	Hungarian	inferRealGrammars.py
10.0	1990000	-4.27758	0.43728796	flat	-2.883964	0.5452308	4734735	Hungarian_2.6	Hungarian	inferRealGrammars.py
10.0	1990000	-0.7011883	0.85734993	goeswith	0.018673752	0.9835251	4734735	Hungarian_2.6	Hungarian	inferRealGrammars.py
10.0	1990000	0.02866775	0.3169729	iobj	-0.8378198	0.41351858	4734735	Hungarian_2.6	Hungarian	inferRealGrammars.py
10.0	1990000	-0.85690033	0.85743827	list	0.0302778	1.0010697	4734735	Hungarian_2.6	Hungarian	inferRealGrammars.py
10.0	1990000	3.7323937	0.35568908	mark	3.3797586	0.2874128	4734735	Hungarian_2.6	Hungarian	inferRealGrammars.py
10.0	1990000	1.8696959	0.07176175	nmod	-0.4585266	0.059675783	4734735	Hungarian_2.6	Hungarian	inferRealGrammars.py
10.0	1990000	1.0766112	0.12887387	nsubj	0.26478747	0.078743376	4734735	Hungarian_2.6	Hungarian	inferRealGrammars.py
10.0	1990000	3.4309313	0.46257305	nummod	-2.8416708	0.32291842	4734735	Hungarian_2.6	Hungarian	inferRealGrammars.py
10.0	1990000	0.2888441	0.08489296	obj	-0.7384834	0.092184745	4734735	Hungarian_2.6	Hungarian	inferRealGrammars.py
10.0	1990000	1.6763613	0.15753956	obl	0.3365493	0.109943084	4734735	Hungarian_2.6	Hungarian	inferRealGrammars.py
10.0	1990000	-0.18235427	0.43704292	orphan	0.7169638	0.6873274	4734735	Hungarian_2.6	Hungarian	inferRealGrammars.py
10.0	1990000	-0.5004572	0.36480367	parataxis	-0.09986585	0.34552184	4734735	Hungarian_2.6	Hungarian	inferRealGrammars.py
10.0	1990000	0.016857764	1.0258303	punct	-0.04132062	1.0176722	4734735	Hungarian_2.6	Hungarian	inferRealGrammars.py
10.0	1990000	-2.5863996	0.33446547	xcomp	-0.65597546	0.4068748	4734735	Hungarian_2.6	Hungarian	inferRealGrammars.py
10.0	1990000	-3.3627808	0.10950843	acl	3.0176253	0.07750029	1077217	Portuguese_2.6	Portuguese	inferRealGrammars.py
10.0	1990000	-0.9539225	0.057584174	advcl	2.5201795	0.07213249	1077217	Portuguese_2.6	Portuguese	inferRealGrammars.py
10.0	1990000	1.1573386	-0.017596565	advmod	-0.3070082	0.03339331	1077217	Portuguese_2.6	Portuguese	inferRealGrammars.py
10.0	1990000	-0.7888557	0.023383325	amod	-4.6277037	0.023591768	1077217	Portuguese_2.6	Portuguese	inferRealGrammars.py
10.0	1990000	-6.0362587	0.28696105	appos	1.898898	-0.059425805	1077217	Portuguese_2.6	Portuguese	inferRealGrammars.py
10.0	1990000	5.83531	0.24630673	aux	-1.6860485	0.059110586	1077217	Portuguese_2.6	Portuguese	inferRealGrammars.py
10.0	1990000	4.434055	-0.050654087	case	0.861623	-0.021433478	1077217	Portuguese_2.6	Portuguese	inferRealGrammars.py
10.0	1990000	4.61015	0.1296418	cc	4.157115	0.12883805	1077217	Portuguese_2.6	Portuguese	inferRealGrammars.py
10.0	1990000	-0.91445565	0.07649297	ccomp	1.7779759	0.20505518	1077217	Portuguese_2.6	Portuguese	inferRealGrammars.py
10.0	1990000	0.3767084	0.1281111	compound	-1.7069075	0.23417433	1077217	Portuguese_2.6	Portuguese	inferRealGrammars.py
10.0	1990000	-7.177132	0.3352965	conj	2.5043242	0.017576296	1077217	Portuguese_2.6	Portuguese	inferRealGrammars.py
10.0	1990000	2.0648673	0.066175796	cop	-1.3290182	0.06381755	1077217	Portuguese_2.6	Portuguese	inferRealGrammars.py
10.0	1990000	-1.6353315	0.09188615	csubj	1.9786302	0.11217079	1077217	Portuguese_2.6	Portuguese	inferRealGrammars.py
10.0	1990000	0.37897706	0.18534306	dep	0.7505111	0.13718797	1077217	Portuguese_2.6	Portuguese	inferRealGrammars.py
10.0	1990000	4.6480484	-0.10827844	det	-2.6888568	0.04717628	1077217	Portuguese_2.6	Portuguese	inferRealGrammars.py
10.0	1990000	2.2145934	0.4253368	discourse	1.9163141	0.35798198	1077217	Portuguese_2.6	Portuguese	inferRealGrammars.py
10.0	1990000	0.8918936	0.13127263	expl	-2.8390145	0.14289702	1077217	Portuguese_2.6	Portuguese	inferRealGrammars.py
10.0	1990000	-5.473071	0.39173976	fixed	-4.446668	0.43729466	1077217	Portuguese_2.6	Portuguese	inferRealGrammars.py
10.0	1990000	-6.8174486	0.3349486	flat	-5.5905523	0.1283837	1077217	Portuguese_2.6	Portuguese	inferRealGrammars.py
10.0	1990000	-1.4434474	0.16277352	iobj	-0.37333882	0.061124988	1077217	Portuguese_2.6	Portuguese	inferRealGrammars.py
10.0	1990000	6.262247	0.25677675	mark	1.4194033	-0.016956026	1077217	Portuguese_2.6	Portuguese	inferRealGrammars.py
10.0	1990000	-2.4214475	0.02970237	nmod	0.9474611	-0.0426036	1077217	Portuguese_2.6	Portuguese	inferRealGrammars.py
10.0	1990000	2.2769742	0.029120853	nsubj	0.16339886	0.015277388	1077217	Portuguese_2.6	Portuguese	inferRealGrammars.py
10.0	1990000	2.2675226	0.07725354	nummod	-3.6914368	0.104597904	1077217	Portuguese_2.6	Portuguese	inferRealGrammars.py
10.0	1990000	-2.2946439	0.040457573	obj	-0.755792	0.058180217	1077217	Portuguese_2.6	Portuguese	inferRealGrammars.py
10.0	1990000	-1.6604855	0.059963908	obl	1.1536198	0.03588459	1077217	Portuguese_2.6	Portuguese	inferRealGrammars.py
10.0	1990000	-0.9778141	0.7698915	orphan	0.20850378	0.9337367	1077217	Portuguese_2.6	Portuguese	inferRealGrammars.py
10.0	1990000	-1.0658443	0.04366663	parataxis	3.6816523	0.10597225	1077217	Portuguese_2.6	Portuguese	inferRealGrammars.py
10.0	1990000	0.026603403	0.97163546	punct	-0.0032185793	1.0044669	1077217	Portuguese_2.6	Portuguese	inferRealGrammars.py
10.0	1990000	-0.3485891	0.95581824	vocative	0.30663937	1.0449642	1077217	Portuguese_2.6	Portuguese	inferRealGrammars.py
10.0	1990000	-4.144627	0.24716404	xcomp	-0.2467517	0.090682045	1077217	Portuguese_2.6	Portuguese	inferRealGrammars.py
10.0	1990000	-4.0874147	0.349494	acl	1.656682	0.26344374	3752904	Croatian_2.6	Croatian	inferRealGrammars.py
10.0	1990000	-0.62916535	0.14713347	advcl	2.3386874	0.15831335	3752904	Croatian_2.6	Croatian	inferRealGrammars.py
10.0	1990000	2.2017202	0.14281133	advmod	-0.79218173	0.100148275	3752904	Croatian_2.6	Croatian	inferRealGrammars.py
10.0	1990000	4.2538223	0.16813599	amod	-4.264366	0.18460226	3752904	Croatian_2.6	Croatian	inferRealGrammars.py
10.0	1990000	-4.473136	0.45873123	appos	0.78316003	0.18781994	3752904	Croatian_2.6	Croatian	inferRealGrammars.py
10.0	1990000	0.8775627	0.06959245	aux	-0.9199755	0.07581773	3752904	Croatian_2.6	Croatian	inferRealGrammars.py
10.0	1990000	5.803542	0.36502635	case	-1.0847077	0.07380686	3752904	Croatian_2.6	Croatian	inferRealGrammars.py
10.0	1990000	4.4286346	0.3146377	cc	3.4560056	0.30324996	3752904	Croatian_2.6	Croatian	inferRealGrammars.py
10.0	1990000	-3.9812634	0.4435987	ccomp	1.6447297	0.29319724	3752904	Croatian_2.6	Croatian	inferRealGrammars.py
10.0	1990000	0.17605095	0.09183776	compound	-4.740044	0.4808962	3752904	Croatian_2.6	Croatian	inferRealGrammars.py
10.0	1990000	-5.394293	0.43088552	conj	2.5291483	0.11765627	3752904	Croatian_2.6	Croatian	inferRealGrammars.py
10.0	1990000	1.4467548	0.13537146	cop	-0.9956651	0.11607588	3752904	Croatian_2.6	Croatian	inferRealGrammars.py
10.0	1990000	-2.2715738	0.44543776	csubj	1.1962976	0.4771936	3752904	Croatian_2.6	Croatian	inferRealGrammars.py
10.0	1990000	4.5178165	0.4114899	det	-2.5968463	0.17675984	3752904	Croatian_2.6	Croatian	inferRealGrammars.py
10.0	1990000	3.0656743	0.31027162	discourse	0.5420858	0.16895594	3752904	Croatian_2.6	Croatian	inferRealGrammars.py
10.0	1990000	1.0422864	0.11824524	expl	-0.8648016	0.10292545	3752904	Croatian_2.6	Croatian	inferRealGrammars.py
10.0	1990000	-3.425294	0.46508574	fixed	-0.11305304	0.91618013	3752904	Croatian_2.6	Croatian	inferRealGrammars.py
10.0	1990000	-4.4062095	0.4471995	flat	-2.3310728	0.5620677	3752904	Croatian_2.6	Croatian	inferRealGrammars.py
10.0	1990000	-0.21823122	0.19211762	iobj	-0.24428625	0.22594236	3752904	Croatian_2.6	Croatian	inferRealGrammars.py
10.0	1990000	3.4958467	0.3021508	mark	3.0728803	0.16740103	3752904	Croatian_2.6	Croatian	inferRealGrammars.py
10.0	1990000	-3.3165698	0.13621274	nmod	-0.92975867	0.17292121	3752904	Croatian_2.6	Croatian	inferRealGrammars.py
10.0	1990000	1.1843868	0.05823315	nsubj	0.14539771	0.07957671	3752904	Croatian_2.6	Croatian	inferRealGrammars.py
10.0	1990000	3.2487822	0.24447934	nummod	-2.9834166	0.1654811	3752904	Croatian_2.6	Croatian	inferRealGrammars.py
10.0	1990000	-1.1693321	0.06470256	obj	-0.45951405	0.08871426	3752904	Croatian_2.6	Croatian	inferRealGrammars.py
10.0	1990000	-0.70494145	0.043439686	obl	0.29412925	0.08150615	3752904	Croatian_2.6	Croatian	inferRealGrammars.py
10.0	1990000	0.28238738	0.444205	orphan	1.9725176	0.7425792	3752904	Croatian_2.6	Croatian	inferRealGrammars.py
10.0	1990000	-1.4491758	0.13319458	parataxis	2.4558756	0.16553737	3752904	Croatian_2.6	Croatian	inferRealGrammars.py
10.0	1990000	0.016763218	1.0210923	punct	-0.0053158207	1.045289	3752904	Croatian_2.6	Croatian	inferRealGrammars.py
10.0	1990000	-0.2800971	0.8687448	vocative	1.1034204	0.894074	3752904	Croatian_2.6	Croatian	inferRealGrammars.py
10.0	1990000	-2.8485167	0.2330035	xcomp	0.6598892	0.119902976	3752904	Croatian_2.6	Croatian	inferRealGrammars.py
10.0	1990000	-4.4677978	0.23644994	acl	2.7929416	0.1030787	5368492	Bulgarian_2.6	Bulgarian	inferRealGrammars.py
10.0	1990000	-0.60858876	0.044123616	advcl	3.0609708	0.076788105	5368492	Bulgarian_2.6	Bulgarian	inferRealGrammars.py
10.0	1990000	1.3593637	-0.026510427	advmod	0.19144832	0.047940426	5368492	Bulgarian_2.6	Bulgarian	inferRealGrammars.py
10.0	1990000	3.2787092	0.08579017	amod	-4.937681	0.09426317	5368492	Bulgarian_2.6	Bulgarian	inferRealGrammars.py
10.0	1990000	-2.3618743	0.6083705	appos	1.1084765	0.7491117	5368492	Bulgarian_2.6	Bulgarian	inferRealGrammars.py
10.0	1990000	3.804508	0.10517371	aux	-1.1241416	0.043230847	5368492	Bulgarian_2.6	Bulgarian	inferRealGrammars.py
10.0	1990000	7.717551	0.36424667	case	-0.662461	0.036988646	5368492	Bulgarian_2.6	Bulgarian	inferRealGrammars.py
10.0	1990000	5.8169036	0.2768385	cc	3.8289962	0.122517206	5368492	Bulgarian_2.6	Bulgarian	inferRealGrammars.py
10.0	1990000	-3.1005368	0.12161785	ccomp	1.5481015	0.095460504	5368492	Bulgarian_2.6	Bulgarian	inferRealGrammars.py
10.0	1990000	-0.29879653	0.9760843	compound	0.026502466	1.020423	5368492	Bulgarian_2.6	Bulgarian	inferRealGrammars.py
10.0	1990000	-6.5290523	0.34981743	conj	2.1569915	0.037172142	5368492	Bulgarian_2.6	Bulgarian	inferRealGrammars.py
10.0	1990000	1.2883182	0.038347658	cop	-0.79519814	0.064884536	5368492	Bulgarian_2.6	Bulgarian	inferRealGrammars.py
10.0	1990000	-1.4162114	0.16916753	csubj	2.0593462	0.32813853	5368492	Bulgarian_2.6	Bulgarian	inferRealGrammars.py
10.0	1990000	0.3016415	0.038270485	det	-3.2217283	0.08093769	5368492	Bulgarian_2.6	Bulgarian	inferRealGrammars.py
10.0	1990000	-0.01253724	0.065165654	discourse	0.18095508	0.09294741	5368492	Bulgarian_2.6	Bulgarian	inferRealGrammars.py
10.0	1990000	1.8049196	0.05233722	expl	-3.4282844	0.05491618	5368492	Bulgarian_2.6	Bulgarian	inferRealGrammars.py
10.0	1990000	-4.823222	0.4095392	fixed	-0.277015	0.963464	5368492	Bulgarian_2.6	Bulgarian	inferRealGrammars.py
10.0	1990000	-5.544548	0.3975471	flat	-4.542189	0.508796	5368492	Bulgarian_2.6	Bulgarian	inferRealGrammars.py
10.0	1990000	-0.2023021	0.9526956	goeswith	-0.18763542	0.9321281	5368492	Bulgarian_2.6	Bulgarian	inferRealGrammars.py
10.0	1990000	-1.3935077	0.032809105	iobj	-0.22972864	0.07509889	5368492	Bulgarian_2.6	Bulgarian	inferRealGrammars.py
10.0	1990000	5.63501	0.39605415	mark	4.069971	0.107181765	5368492	Bulgarian_2.6	Bulgarian	inferRealGrammars.py
10.0	1990000	-4.0711727	0.0970612	nmod	0.26102245	0.032268934	5368492	Bulgarian_2.6	Bulgarian	inferRealGrammars.py
10.0	1990000	1.1012012	-0.025900932	nsubj	1.1722198	0.026087068	5368492	Bulgarian_2.6	Bulgarian	inferRealGrammars.py
10.0	1990000	2.4630775	0.07635663	nummod	-4.0525084	0.12882377	5368492	Bulgarian_2.6	Bulgarian	inferRealGrammars.py
10.0	1990000	-1.4078948	-0.02345789	obj	-0.630086	0.06572684	5368492	Bulgarian_2.6	Bulgarian	inferRealGrammars.py
10.0	1990000	-0.63764566	-0.010101868	obl	1.7279203	0.06476131	5368492	Bulgarian_2.6	Bulgarian	inferRealGrammars.py
10.0	1990000	3.4391747	0.2594937	parataxis	0.99523157	0.64982593	5368492	Bulgarian_2.6	Bulgarian	inferRealGrammars.py
