Language	Family	Genus
Afrikaans_2.8	Germanic	Indo_European
Amharic_2.8	Semitic	Afro_Asiatic
Ancient_Greek_2.8	Greek	Indo_European
Arabic_2.8	Semitic	Afro_Asiatic
Armenian_2.8	Armenian	Indo_European
Bambara_2.8	Mande	Niger-Congo
Basque_2.8	Basque	Basque
Breton_2.8	Celtic	Indo_European
Bulgarian_2.8	Slavic	Indo_European
Buryat_2.8	Mongolic	Mongolic
Cantonese_2.8	Sino-Tibetan	Sino-Tibetan
Catalan_2.8	Latin_Romance	Indo_European
Chinese_2.8	Sino-Tibetan	Sino-Tibetan
Classical_Chinese_2.8	Sino-Tibetan	Sino-Tibetan
Coptic_2.8	Egyptian	Afro_Asiatic
Croatian_2.8	Slavic	Indo_European
Czech_2.8	Slavic	Indo_European
Danish_2.8	Germanic	Indo_European
Dutch_2.8	Germanic	Indo_European
English_2.8	Germanic	Indo_European
Erzya_2.8	Mordvin	Uralic
Estonian_2.8	Finnic	Uralic
Faroese_2.8	Germanic	Indo_European
Finnish_2.8	Finnic	Uralic
French_2.8	Latin_Romance	Indo_European
German_2.8	Germanic	Indo_European
Gothic_2.8	Germanic	Indo_European
Greek_2.8	Greek	Indo_European
Hebrew_2.8	Semitic	Afro_Asiatic
Hindi_2.8	Indic	Indo_European
Hungarian_2.8	Ugric	Uralic
Icelandic_2.8	Germanic	Indo_European
Indonesian_2.8	Malayo-Sumbawan	Austronesian
Irish_2.8	Celtic	Indo_European
Italian_2.8	Latin_Romance	Indo_European
Japanese_2.8	Japanese	Japanese
Kazakh_2.8	Turkic	Turkic
Korean_2.8	Korean	Korean
Kurmanji_2.8	Iranian	Indo_European
Latin_2.8	Latin_Romance	Indo_European
Latvian_2.8	Baltic	Indo_European
Lithuanian_2.8	Baltic	Indo_European
Maltese_2.8	Semitic	Afro_Asiatic
Mbya_Guarani_2.8	Tupian	Tupian
Naija_2.8	Creole_Naija	Indo_European
North_Sami_2.8	Sami	Uralic
Norwegian_2.8	Germanic	Indo_European
Old_Church_Slavonic_2.8	Slavic	Indo_European
Old_French_2.8	Latin_Romance	Indo_European
Old_Russian_2.8	Slavic	Indo_European
Persian_2.8	Iranian	Indo_European
Polish_2.8	Slavic	Indo_European
Portuguese_2.8	Latin_Romance	Indo_European
Romanian_2.8	Latin_Romance	Indo_European
Russian_2.8	Slavic	Indo_European
Sanskrit_2.8	Indic	Indo_European
Scottish_Gaelic_2.8	Celtic	Indo_European
Serbian_2.8	Slavic	Indo_European
Sindhi_2.8	Indic	Indo_European
Slovak_2.8	Slavic	Indo_European
Slovenian_2.8	Slavic	Indo_European
Spanish_2.8	Latin_Romance	Indo_European
Swedish_2.8	Germanic	Indo_European
Thai_2.8	Tai-Kadai	Tai-Kadai
Turkish_2.8	Turkic	Turkic
Ukrainian_2.8	Slavic	Indo_European
Urdu_2.8	Indic	Indo_European
Uyghur_2.8	Turkic	Turkic
Vietnamese_2.8	Viet-Muong	Viet-Muong
Welsh_2.8	Celtic	Indo_European
Wolof_2.8	Northern_Atlantic	Niger-Congo
Yoruba_2.8	Defoid	Niger-Congo
Galician_2.8	Latin_Romance	Indo_European
Belarusian_2.8	Slavic	Indo_European
Upper_Sorbian_2.8	Slavic	Indo_European
Akkadian_2.8	Semitic	Afro_Asiatic
Kiche_2.8	Mayan	Mayan
Komi_Zyrian_2.8	Permic	Uralic
Manx_2.8	Celtic	Indo_European
Old_East_Slavic_2.8	Slavic	Indo_European
Western_Armenian_2.8	Armenian	Indo_European
