"Language" "FileName" "ModelName" "AverageLoss.x" "Counter.x" "DH_Mean_NoPunct.x" "DH_Sigma_NoPunct.x" "Dependency.x" "Distance_Mean_NoPunct.x" "Distance_Sigma_NoPunct.x" "Language_.x" "AverageLoss.y" "Counter.y" "DH_Mean_NoPunct.y" "DH_Sigma_NoPunct.y" "Dependency.y" "Distance_Mean_NoPunct.y" "Distance_Sigma_NoPunct.y" "Language_.y" "OFartherThanS_Real" "OSSameSide_Real" "OSSameSide_Real_Prob" "Order_Real"
"1" "Afrikaans_2.6" 685282 "inferRealGrammars.py" 10 1990000 1.0623703 0.04641551 "obj" -0.7556495 0.051261757 "Afrikaans" 10 1990000 3.8994548 0.16196364 "nsubj" 1.5648694 0.051672786 "Afrikaans" FALSE TRUE 0.733490022047345 "SOV"
"2" "Amharic_2.6" 1081050 "inferRealGrammars.py" 10 1990000 1.8884794 0.12548533 "obj" -0.00750248 0.06278237 "Amharic" 10 1990000 0.20355907 0.042881254 "nsubj" -0.5074456 0.049046133 "Amharic" TRUE TRUE 0.537385107584676 "VSO"
"3" "Ancient_Greek_2.6" 9996719 "inferRealGrammars.py" 10 1990000 0.0603021 0.01901657 "obj" -1.0630593 0.06826083 "Ancient_Greek" 10 1990000 0.80385005 0.036266904 "nsubj" -0.5288426 0.014185273 "Ancient_Greek" FALSE TRUE 0.505751000577897 "SOV"
"4" "Arabic_2.6" 7916684 "inferRealGrammars.py" 10 1990000 -3.5706105 0.05390048 "obj" -0.3106018 0.02422669 "Arabic" 10 1990000 -0.6399318 0.04494919 "nsubj" -1.368912 0.04192884 "Arabic" TRUE TRUE 0.646268130405137 "VSO"
"5" "Armenian_2.6" 7938085 "inferRealGrammars.py" 10 1990000 0.7691072 0.15937753 "obj" -0.510262 0.17781991 "Armenian" 10 1990000 1.725828 0.1790717 "nsubj" 0.81231076 0.13408783 "Armenian" FALSE TRUE 0.627918023706465 "SOV"
"6" "Bambara_2.6" 7601882 "inferRealGrammars.py" 10 1990000 4.986707 0.37511295 "obj" -9.307599 0.25351298 "Bambara" 10 1990000 5.5063887 0.37231955 "nsubj" -1.7486746 0.12662071 "Bambara" FALSE TRUE 0.989228727521952 "SOV"
"7" "Basque_2.6" 7303185 "inferRealGrammars.py" 10 1990000 1.7994787 0.051133733 "obj" -0.45779195 0.04355673 "Basque" 10 1990000 1.4512761 0.054100037 "nsubj" 1.2164202 0.03323368 "Basque" FALSE TRUE 0.722152462569303 "SOV"
"8" "Belarusian_2.6" 534091 "inferRealGrammars.py" 10 1990000 -2.664798 0.2893168 "obj" -0.95927924 0.24602531 "Belarusian" 10 1990000 1.4173962 0.18833978 "nsubj" 0.123473145 0.2265401 "Belarusian" FALSE FALSE 0.234761472519695 "SVO"
"9" "Breton_2.6" 3046401 "inferRealGrammars.py" 10 1990000 -2.0937724 0.13781713 "obj" 0.32677376 0.15674482 "Breton" 10 1990000 -0.03563693 0.07928408 "nsubj" 0.20985375 0.09951171 "Breton" TRUE TRUE 0.506953747073751 "VSO"
"10" "Bulgarian_2.6" 5368492 "inferRealGrammars.py" 10 1990000 -1.4078948 -0.02345789 "obj" -0.630086 0.06572684 "Bulgarian" 10 1990000 1.1012012 -0.025900932 "nsubj" 1.1722198 0.026087068 "Bulgarian" FALSE FALSE 0.347988761626033 "SVO"
"11" "Buryat_2.6" 7105243 "inferRealGrammars.py" 10 1990000 1.6238016 0.67573935 "obj" -0.8075707 0.70130646 "Buryat" 10 1990000 1.6203281 0.5668761 "nsubj" 0.92198 0.47111246 "Buryat" FALSE TRUE 0.7245565111013 "SOV"
"12" "Cantonese_2.6" 6521555 "inferRealGrammars.py" 10 1690000 -3.3987617 0.2110066 "obj" -0.9598805 0.096124366 "Cantonese" 10 1690000 3.6810515 0.20643874 "nsubj" 0.18464042 0.06879318 "Cantonese" FALSE FALSE 0.0553220269787792 "SVO"
"13" "Catalan_2.6" 5851556 "inferRealGrammars.py" 10 1990000 -0.87367225 0.040018126 "obj" -0.4533824 0.054044567 "Catalan" 10 1990000 1.5554534 0.028500807 "nsubj" 0.6344113 0.037575953 "Catalan" FALSE FALSE 0.366131289233684 "SVO"
"14" "Chinese_2.6" 4930916 "inferRealGrammars.py" 10 1990000 -4.4349604 0.14518434 "obj" 0.16475324 0.062193792 "Chinese" 10 1990000 5.4021225 0.18126866 "nsubj" 0.72748697 0.028132388 "Chinese" FALSE FALSE 0.0160982712572698 "SVO"
"15" "Classical_Chinese_2.6" 59258 "inferRealGrammars.py" 10 1990000 -2.7140698 0.13759778 "obj" -1.7046866 0.20903662 "Classical_Chinese" 10 1990000 5.0844746 0.39476955 "nsubj" 1.2372061 0.09747881 "Classical_Chinese" FALSE FALSE 0.0675373252453634 "SVO"
"16" "Coptic_2.6" 5143832 "inferRealGrammars.py" 10 1990000 -4.5081015 0.37614635 "obj" -1.7934747 0.1319011 "Coptic" 10 1990000 2.5463185 0.11305974 "nsubj" -3.0528855 0.11294052 "Coptic" TRUE FALSE 0.0819892694896112 "SVO"
"17" "Croatian_2.6" 3752904 "inferRealGrammars.py" 10 1990000 -1.1693321 0.06470256 "obj" -0.45951405 0.08871426 "Croatian" 10 1990000 1.1843868 0.05823315 "nsubj" 0.14539771 0.07957671 "Croatian" FALSE FALSE 0.360210152680932 "SVO"
"18" "Czech_2.6" 7239336 "inferRealGrammars.py" 10 1990000 -0.86096716 -0.03635289 "obj" -0.06382859 -0.039551996 "Czech" 10 1990000 0.78555083 0.014480362 "nsubj" 0.49323323 -0.03831303 "Czech" FALSE FALSE 0.424179987310413 "SVO"
"19" "Danish_2.6" 9169159 "inferRealGrammars.py" 10 1990000 -2.7895176 0.086503275 "obj" -0.88831615 0.07719899 "Danish" 10 1990000 1.6393931 0.041808907 "nsubj" -0.06017339 0.009775984 "Danish" FALSE FALSE 0.201620092910868 "SVO"
"20" "Dutch_2.6" 6687077 "inferRealGrammars.py" 10 1990000 0.4482712 0.043802388 "obj" 0.3156856 0.03399381 "Dutch" 10 1990000 1.3456464 0.008511699 "nsubj" 0.7463411 0.025440566 "Dutch" FALSE TRUE 0.564685597628611 "SOV"
"21" "English_2.6" 4399217 "inferRealGrammars.py" 10 1990000 -3.1122444 0.06104697 "obj" -1.2437664 0.09443907 "English" 10 1990000 3.109593 0.015414904 "nsubj" 0.9364058 0.022750815 "English" FALSE FALSE 0.0816786854392221 "SVO"
"22" "Erzya_2.6" 6919063 "inferRealGrammars.py" 10 1990000 -0.3401966 0.07373365 "obj" -0.7613072 0.094386004 "Erzya" 10 1990000 0.5398936 0.051907696 "nsubj" -0.04101137 0.08852926 "Erzya" FALSE FALSE 0.477796867735314 "SVO"
"23" "Estonian_2.6" 1632056 "inferRealGrammars.py" 10 1990000 -0.32796282 0.04239632 "obj" -0.34063563 0.055298112 "Estonian" 10 1990000 0.728608 0.03448087 "nsubj" 0.23447482 0.047949005 "Estonian" FALSE FALSE 0.471639040928352 "SVO"
"24" "Faroese_2.6" 3912618 "inferRealGrammars.py" 10 1990000 -2.9254234 0.37335056 "obj" -0.1998393 0.20579414 "Faroese" 10 1990000 1.6800815 0.102216356 "nsubj" 0.7216762 0.06542127 "Faroese" FALSE FALSE 0.192001006768734 "SVO"
"25" "Finnish_2.6" 8368574 "inferRealGrammars.py" 10 1990000 -0.81135523 0.023206018 "obj" -0.37519446 0.036360566 "Finnish" 10 1990000 1.649358 0.014467453 "nsubj" 0.34855163 -0.014959884 "Finnish" FALSE FALSE 0.36962932531999 "SVO"
"26" "French_2.6" 4905698 "inferRealGrammars.py" 10 1990000 -1.5512085 0.049689922 "obj" -0.07622819 0.054289874 "French" 10 1990000 3.1955216 0.05514606 "nsubj" 0.7321442 0.018891703 "French" FALSE FALSE 0.200486221777063 "SVO"
"27" "Galician_2.6" 2397627 "inferRealGrammars.py" 10 1990000 -1.4461603 0.044027757 "obj" -0.3074311 0.05383868 "Galician" 10 1990000 1.6285813 0.041355256 "nsubj" 0.35786438 0.07042919 "Galician" FALSE FALSE 0.292093980032101 "SVO"
"28" "German_2.6" 6337826 "inferRealGrammars.py" 10 1990000 0.33572224 -0.0117366165 "obj" -0.055694506 -0.022771308 "German" 10 1990000 1.3178633 0.043163534 "nsubj" 0.6375891 0.006826048 "German" FALSE TRUE 0.548032358697876 "SOV"
"29" "Gothic_2.6" 558149 "inferRealGrammars.py" 10 1990000 -0.53618693 0.08480759 "obj" -1.1277896 0.11980508 "Gothic" 10 1990000 0.75668603 0.07098157 "nsubj" -0.10983266 0.09225225 "Gothic" FALSE FALSE 0.452701054757161 "SVO"
"30" "Greek_2.6" 9680288 "inferRealGrammars.py" 10 1990000 -1.5911373 0.07694562 "obj" -0.025981408 0.061867017 "Greek" 10 1990000 0.96788114 0.044224475 "nsubj" 0.6470041 0.10016384 "Greek" FALSE FALSE 0.351351251121418 "SVO"
"31" "Hebrew_2.6" 688184 "inferRealGrammars.py" 10 1990000 -3.2057676 0.07179328 "obj" -0.05328228 0.03835811 "Hebrew" 10 1990000 0.8602598 -0.0744435 "nsubj" -0.049808446 0.03751169 "Hebrew" FALSE FALSE 0.313076259436832 "SVO"
"32" "Hindi_2.6" 1930260 "inferRealGrammars.py" 10 1990000 1.1885469 0.0352548 "obj" -0.2752494 0.021010218 "Hindi" 10 1990000 4.230144 0.045821078 "nsubj" 1.2426238 -0.017707162 "Hindi" FALSE TRUE 0.758837536831639 "SOV"
"33" "Hungarian_2.6" 4734735 "inferRealGrammars.py" 10 1990000 0.2888441 0.08489296 "obj" -0.7384834 0.092184745 "Hungarian" 10 1990000 1.0766112 0.12887387 "nsubj" 0.26478747 0.078743376 "Hungarian" FALSE TRUE 0.535261652236414 "SOV"
