"Language" "FileName" "CoarseDependency.x" "DH_Weight.x" "DistanceWeight.x" "Language_.x" "CoarseDependency.y" "DH_Weight.y" "DistanceWeight.y" "Language_.y" "OFartherThanS" "OSSameSide" "Order" "Family"
"1" "Afrikaans_2.8" 1237216 "obj" -5.43885 0.19425 "Afrikaans" "nsubj" 4.58675 1.35434 "Afrikaans" FALSE FALSE "SVO" "Germanic"
"2" "Afrikaans_2.8" 2961638 "obj" 5.40896 0.46112 "Afrikaans" "nsubj" -4.37223 1.05756 "Afrikaans" FALSE FALSE "SVO" "Germanic"
"3" "Afrikaans_2.8" 3426518 "obj" 0.61155 0.88834 "Afrikaans" "nsubj" -0.18626 0.1215 "Afrikaans" TRUE FALSE "SVO" "Germanic"
"4" "Afrikaans_2.8" 3872221 "obj" -5.53964 0.17344 "Afrikaans" "nsubj" 4.02584 0.95597 "Afrikaans" FALSE FALSE "SVO" "Germanic"
"5" "Afrikaans_2.8" 4197274 "obj" -5.92653 0.01724 "Afrikaans" "nsubj" 3.47978 1.48061 "Afrikaans" FALSE FALSE "SVO" "Germanic"
"6" "Afrikaans_2.8" 4748914 "obj" 5.91912 -0.19945 "Afrikaans" "nsubj" -4.66155 0.95892 "Afrikaans" FALSE FALSE "SVO" "Germanic"
"7" "Afrikaans_2.8" 5274801 "obj" 3.44077 1.63538 "Afrikaans" "nsubj" 0.42079 0.16551 "Afrikaans" TRUE TRUE "VSO" "Germanic"
"8" "Afrikaans_2.8" 5748157 "obj" 5.32082 0.25164 "Afrikaans" "nsubj" -2.99033 1.33414 "Afrikaans" FALSE FALSE "SVO" "Germanic"
"9" "Afrikaans_2.8" 6769369 "obj" -4.9555 0.62886 "Afrikaans" "nsubj" 2.67043 -0.20234 "Afrikaans" TRUE FALSE "SVO" "Germanic"
"10" "Afrikaans_2.8" 7926648 "obj" 5.52846 0.75778 "Afrikaans" "nsubj" 0.66487 -0.66411 "Afrikaans" TRUE TRUE "VSO" "Germanic"
"11" "Afrikaans_2.8" 8021344 "obj" 5.45855 0.7778 "Afrikaans" "nsubj" -3.95696 0.77406 "Afrikaans" TRUE FALSE "SVO" "Germanic"
"12" "Afrikaans_2.8" 9012368 "obj" 5.30969 0.84391 "Afrikaans" "nsubj" -4.53255 0.56339 "Afrikaans" TRUE FALSE "SVO" "Germanic"
"13" "Afrikaans_2.8" 9026966 "obj" 5.57497 0.00351 "Afrikaans" "nsubj" -4.19186 1.37499 "Afrikaans" FALSE FALSE "SVO" "Germanic"
"14" "Afrikaans_2.8" 9565115 "obj" -5.48017 -0.1074 "Afrikaans" "nsubj" 4.25968 1.34124 "Afrikaans" FALSE FALSE "SVO" "Germanic"
"15" "Afrikaans_2.8" 9841007 "obj" 5.09361 0.25124 "Afrikaans" "nsubj" -4.10937 0.69497 "Afrikaans" FALSE FALSE "SVO" "Germanic"
"16" "Akkadian_2.8" 1407861 "obj" -6.30601 0.60064 "Akkadian" "nsubj" -3.84461 0.81677 "Akkadian" FALSE TRUE "SOV" "Semitic"
"17" "Akkadian_2.8" 1506696 "obj" -4.10461 0.65365 "Akkadian" "nsubj" -2.58035 -0.05954 "Akkadian" TRUE TRUE "VSO" "Semitic"
"18" "Akkadian_2.8" 163980 "obj" 0.18097 -0.06511 "Akkadian" "nsubj" 0.02776 -0.273 "Akkadian" TRUE TRUE "VSO" "Semitic"
"19" "Akkadian_2.8" 2028612 "obj" 1.30891 -0.23105 "Akkadian" "nsubj" 0.06684 -0.05244 "Akkadian" FALSE TRUE "SOV" "Semitic"
"20" "Akkadian_2.8" 2103739 "obj" -6.01976 0.19395 "Akkadian" "nsubj" -3.62382 0.2785 "Akkadian" FALSE TRUE "SOV" "Semitic"
"21" "Akkadian_2.8" 3633383 "obj" 0.83616 0.09091 "Akkadian" "nsubj" 0.00959 -0.14268 "Akkadian" TRUE TRUE "VSO" "Semitic"
"22" "Akkadian_2.8" 3913709 "obj" -5.98497 -0.31844 "Akkadian" "nsubj" -3.11753 1.2439 "Akkadian" FALSE TRUE "SOV" "Semitic"
"23" "Akkadian_2.8" 4007662 "obj" -5.8457 0.84074 "Akkadian" "nsubj" -3.55872 1.29283 "Akkadian" FALSE TRUE "SOV" "Semitic"
"24" "Akkadian_2.8" 40143 "obj" 0.51549 -0.37891 "Akkadian" "nsubj" -0.06384 -0.00903 "Akkadian" FALSE FALSE "SVO" "Semitic"
"25" "Akkadian_2.8" 6699974 "obj" -6.15788 0.6754 "Akkadian" "nsubj" -3.9242 1.86037 "Akkadian" FALSE TRUE "SOV" "Semitic"
"26" "Akkadian_2.8" 6716995 "obj" 6.20779 -0.13633 "Akkadian" "nsubj" 3.1833 0.4604 "Akkadian" FALSE TRUE "SOV" "Semitic"
"27" "Akkadian_2.8" 6766405 "obj" -1.33128 -0.01909 "Akkadian" "nsubj" -0.12856 -0.0014 "Akkadian" FALSE TRUE "SOV" "Semitic"
"28" "Akkadian_2.8" 7307785 "obj" -0.49301 -0.22698 "Akkadian" "nsubj" -0.09939 -0.08616 "Akkadian" FALSE TRUE "SOV" "Semitic"
"29" "Akkadian_2.8" 7695514 "obj" 1.11539 0.10363 "Akkadian" "nsubj" -0.11184 -0.29945 "Akkadian" TRUE FALSE "SVO" "Semitic"
"30" "Akkadian_2.8" 8359841 "obj" -1.52365 -0.15313 "Akkadian" "nsubj" 0.07978 0.00495 "Akkadian" FALSE FALSE "SVO" "Semitic"
"31" "Amharic_2.8" 2098808 "obj" -5.24935 0.50754 "Amharic" "nsubj" 4.80601 1.1172 "Amharic" FALSE FALSE "SVO" "Semitic"
