CoarseDependency	DH_Weight	DependentPOS	DistanceWeight	FileName	HeadPOS	Language	Language_
nsubj	3.09303	NOUN	-1.50712	2124338	VERB	Faroese_2.7	Faroese
obj	-0.96689	NOUN	-0.26938	2124338	VERB	Faroese_2.7	Faroese
nsubj	-2.65423	NOUN	-2.77292	5424353	VERB	Icelandic_2.7	Icelandic
obj	3.34722	NOUN	0.12437	5424353	VERB	Icelandic_2.7	Icelandic
nsubj	-3.65598	NOUN	1.92611	606474	VERB	Akkadian_2.7	Akkadian
obj	-6.14194	NOUN	-0.34541	606474	VERB	Akkadian_2.7	Akkadian
nsubj	-2.38991	NOUN	-1.68497	3293251	VERB	Faroese_2.7	Faroese
obj	-2.07768	NOUN	-0.51632	3293251	VERB	Faroese_2.7	Faroese
nsubj	3.72432	NOUN	-1.40906	5033257	VERB	Turkish_2.7	Turkish
obj	4.36833	NOUN	0.67561	5033257	VERB	Turkish_2.7	Turkish
nsubj	-4.1678	NOUN	0.20399	5675968	VERB	Turkish_2.7	Turkish
obj	3.05113	NOUN	0.60198	5675968	VERB	Turkish_2.7	Turkish
nsubj	-3.82783	NOUN	-1.04324	4846752	VERB	Faroese_2.7	Faroese
obj	-3.53537	NOUN	1.38377	4846752	VERB	Faroese_2.7	Faroese
nsubj	-0.05268	NOUN	0.01378	3252726	VERB	Akkadian_2.7	Akkadian
obj	0.12048	NOUN	-0.0831	3252726	VERB	Akkadian_2.7	Akkadian
nsubj	-2.62313	NOUN	0.28003	1998422	VERB	Turkish_2.7	Turkish
obj	3.66608	NOUN	0.5248	1998422	VERB	Turkish_2.7	Turkish
nsubj	0.2526	NOUN	-0.56733	9602639	VERB	Faroese_2.7	Faroese
obj	-0.18314	NOUN	0.22867	9602639	VERB	Faroese_2.7	Faroese
nsubj	-4.36183	NOUN	-0.51087	8413086	VERB	Turkish_2.7	Turkish
obj	-4.04916	NOUN	1.1258	8413086	VERB	Turkish_2.7	Turkish
nsubj	-4.07074	NOUN	0.62714	6217242	VERB	Persian_2.7	Persian
obj	4.9555	NOUN	0.75324	6217242	VERB	Persian_2.7	Persian
nsubj	-4.20953	NOUN	-0.11308	3224427	VERB	Turkish_2.7	Turkish
obj	-3.72929	NOUN	1.02982	3224427	VERB	Turkish_2.7	Turkish
nsubj	-0.09432	NOUN	-0.37293	8372498	VERB	Icelandic_2.7	Icelandic
obj	-0.45945	NOUN	0.0598	8372498	VERB	Icelandic_2.7	Icelandic
nsubj	0.13097	NOUN	-0.39911	486136	VERB	Faroese_2.7	Faroese
obj	0.15398	NOUN	0.25146	486136	VERB	Faroese_2.7	Faroese
nsubj	0.03992	NOUN	-0.15132	908560	VERB	Turkish_2.7	Turkish
obj	-0.06176	NOUN	0.3359	908560	VERB	Turkish_2.7	Turkish
nsubj	-3.62579	NOUN	1.48626	3168128	VERB	Akkadian_2.7	Akkadian
obj	-6.05849	NOUN	0.66548	3168128	VERB	Akkadian_2.7	Akkadian
nsubj	-2.78055	NOUN	-1.72813	2841080	VERB	Icelandic_2.7	Icelandic
obj	-3.56115	NOUN	0.73725	2841080	VERB	Icelandic_2.7	Icelandic
nsubj	-1.32347	NOUN	-1.13977	5268910	VERB	Faroese_2.7	Faroese
obj	0.00854	NOUN	0.70379	5268910	VERB	Faroese_2.7	Faroese
nsubj	-2.08699	NOUN	-1.29407	376390	VERB	Faroese_2.7	Faroese
obj	1.23367	NOUN	0.07311	376390	VERB	Faroese_2.7	Faroese
nsubj	-1.82643	NOUN	-1.9131	651922	VERB	Icelandic_2.7	Icelandic
obj	4.37781	NOUN	-0.27532	651922	VERB	Icelandic_2.7	Icelandic
nsubj	-0.46161	NOUN	-0.49928	7856406	VERB	Persian_2.7	Persian
obj	-0.38191	NOUN	0.7354	7856406	VERB	Persian_2.7	Persian
nsubj	0.20845	NOUN	0.04712	889054	VERB	Turkish_2.7	Turkish
obj	0.66517	NOUN	0.33742	889054	VERB	Turkish_2.7	Turkish
nsubj	-4.51581	NOUN	-0.60283	6636653	VERB	Persian_2.7	Persian
obj	4.09493	NOUN	0.97491	6636653	VERB	Persian_2.7	Persian
nsubj	2.76884	NOUN	-1.01658	3941070	VERB	Faroese_2.7	Faroese
obj	-2.85643	NOUN	0.507	3941070	VERB	Faroese_2.7	Faroese
nsubj	-0.07094	NOUN	-0.51384	1226246	VERB	Faroese_2.7	Faroese
obj	-0.1599	NOUN	0.06079	1226246	VERB	Faroese_2.7	Faroese
nsubj	3.22035	NOUN	1.14659	9596246	VERB	Akkadian_2.7	Akkadian
obj	6.22267	NOUN	-0.28638	9596246	VERB	Akkadian_2.7	Akkadian
nsubj	3.15079	NOUN	1.33298	7994563	VERB	Akkadian_2.7	Akkadian
obj	5.85508	NOUN	-0.34201	7994563	VERB	Akkadian_2.7	Akkadian
nsubj	-0.60507	NOUN	-0.62766	8713322	VERB	Icelandic_2.7	Icelandic
obj	3.27484	NOUN	-0.87049	8713322	VERB	Icelandic_2.7	Icelandic
nsubj	-4.37066	NOUN	1.79286	9137700	VERB	Akkadian_2.7	Akkadian
obj	-5.82702	NOUN	-0.16924	9137700	VERB	Akkadian_2.7	Akkadian
nsubj	-0.13111	NOUN	-0.02625	5088673	VERB	Turkish_2.7	Turkish
obj	0.37734	NOUN	-0.02563	5088673	VERB	Turkish_2.7	Turkish
nsubj	-3.47667	NOUN	0.12419	2441198	VERB	Turkish_2.7	Turkish
obj	-4.24912	NOUN	0.75067	2441198	VERB	Turkish_2.7	Turkish
