"Language" "Family" "OSSameSideSum" "OSSameSideTotal" "OSSameSide" "OFartherThanS" "OSSameSide_Real" "OSSameSide_Real_Prob"
"1" "Afrikaans_2.6" "Germanic" 0 11 0 0.454545454545455 TRUE 0.733490022047345
"2" "Amharic_2.6" "Semitic" 6 10 0.6 0.9 TRUE 0.537385107584676
"3" "Ancient_Greek_2.6" "Greek" 5 10 0.5 0.8 TRUE 0.505751000577897
"4" "Arabic_2.6" "Semitic" 5 13 0.384615384615385 1 TRUE 0.646268130405137
"5" "Armenian_2.6" "Armenian" 7 12 0.583333333333333 1 TRUE 0.627918023706465
"6" "Bambara_2.6" "Mande" 7 11 0.636363636363636 0.363636363636364 TRUE 0.989228727521952
"7" "Basque_2.6" "Basque" 5 12 0.416666666666667 0.75 TRUE 0.722152462569303
"8" "Breton_2.6" "Celtic" 11 13 0.846153846153846 0.769230769230769 TRUE 0.506953747073751
"9" "Bulgarian_2.6" "Slavic" 6 13 0.461538461538462 0.846153846153846 FALSE 0.347988761626033
"10" "Buryat_2.6" "Mongolic" 6 13 0.461538461538462 0 TRUE 0.7245565111013
"11" "Cantonese_2.6" "Sino-Tibetan" 4 13 0.307692307692308 0.769230769230769 FALSE 0.0553220269787792
"12" "Catalan_2.6" "Latin_Romance" 6 14 0.428571428571429 1 FALSE 0.366131289233684
"13" "Chinese_2.6" "Sino-Tibetan" 1 10 0.1 0.8 FALSE 0.0160982712572698
"14" "Classical_Chinese_2.6" "Sino-Tibetan" 6 13 0.461538461538462 0 FALSE 0.0675373252453634
"15" "Coptic_2.6" "Egyptian" 5 11 0.454545454545455 0.909090909090909 FALSE 0.0798982068022923
"16" "Croatian_2.6" "Slavic" 6 12 0.5 0.666666666666667 FALSE 0.360210152680932
"17" "Czech_2.6" "Slavic" 12 13 0.923076923076923 1 FALSE 0.424179987310413
"18" "Danish_2.6" "Germanic" 5 13 0.384615384615385 1 FALSE 0.201620092910868
"19" "Dutch_2.6" "Germanic" 4 11 0.363636363636364 0.545454545454545 TRUE 0.564685597628611
"20" "English_2.6" "Germanic" 3 10 0.3 0.9 FALSE 0.0816786854392221
"21" "Erzya_2.6" "Mordvin" 10 11 0.909090909090909 0.363636363636364 FALSE 0.477796867735314
"22" "Estonian_2.6" "Finnic" 9 12 0.75 0.666666666666667 FALSE 0.471639040928352
"23" "Faroese_2.6" "Germanic" 6 13 0.461538461538462 1 FALSE 0.192001006768734
"24" "Finnish_2.6" "Finnic" 8 11 0.727272727272727 0.909090909090909 FALSE 0.36962932531999
"25" "French_2.6" "Latin_Romance" 4 12 0.333333333333333 0.75 FALSE 0.200486221777063
"26" "German_2.6" "Germanic" 8 13 0.615384615384615 0.923076923076923 TRUE 0.548032358697876
"27" "Gothic_2.6" "Germanic" 5 11 0.454545454545455 0.363636363636364 FALSE 0.452701054757161
"28" "Greek_2.6" "Greek" 3 12 0.25 0.916666666666667 FALSE 0.351351251121418
"29" "Hebrew_2.6" "Semitic" 2 12 0.166666666666667 0.75 FALSE 0.313076259436832
"30" "Hindi_2.6" "Indic" 4 11 0.363636363636364 0.454545454545455 TRUE 0.758837536831639
"31" "Hungarian_2.6" "Ugric" 4 11 0.363636363636364 0.545454545454545 TRUE 0.535261652236414
"32" "Icelandic_2.6" "Germanic" 4 14 0.285714285714286 1 FALSE 0.17673511590132
"33" "Indonesian_2.6" "Malayo-Sumbawan" 2 12 0.166666666666667 1 FALSE 0.0821981035588028
"34" "Irish_2.6" "Celtic" 11 14 0.785714285714286 0.714285714285714 TRUE 0.57739213258682
"35" "Italian_2.6" "Latin_Romance" 4 15 0.266666666666667 0.733333333333333 FALSE 0.258976365908599
"36" "Japanese_2.6" "Japanese" 10 10 1 0.6 TRUE 0.999464341990614
"37" "Kazakh_2.6" "Turkic" 10 14 0.714285714285714 0 TRUE 0.788447365573042
"38" "Korean_2.6" "Korean" 9 10 0.9 0.6 TRUE 0.987195348569592
"39" "Kurmanji_2.6" "Iranian" 12 13 0.923076923076923 0.769230769230769 TRUE 0.938183810521532
"40" "Latin_2.6" "Latin_Romance" 5 10 0.5 0.5 TRUE 0.537399860542946
"41" "Latvian_2.6" "Baltic" 5 11 0.454545454545455 1 FALSE 0.411664412483313
"42" "Lithuanian_2.6" "Baltic" 5 13 0.384615384615385 0.846153846153846 FALSE 0.412431362796748
"43" "Maltese_2.6" "Semitic" 4 11 0.363636363636364 0.818181818181818 FALSE 0.303941652048626
"44" "Mbya_Guarani_2.6" "Tupian" 8 14 0.571428571428571 1 TRUE 0.529045619798164
"45" "Naija_2.6" "Creole_Naija" 4 12 0.333333333333333 0.583333333333333 FALSE 0.0208720700728321
"46" "North_Sami_2.6" "Sami" 9 15 0.6 0.933333333333333 FALSE 0.376414462590049
"47" "Norwegian_2.6" "Germanic" 3 13 0.230769230769231 0.923076923076923 FALSE 0.234015773219976
"48" "Old_Church_Slavonic_2.6" "Slavic" 7 11 0.636363636363636 0.272727272727273 FALSE 0.451525153690612
"49" "Old_French_2.6" "Latin_Romance" 8 11 0.727272727272727 1 TRUE 0.562505175101528
