Group	Time
Gothic	+400
Germanic	+0
Indo_European	-4000
Semitic	-3500
Insular_Celtic	-500
Turkic	+500
Tai-Kadai	-3000
Slavic	+500
Indo_Iranian	-2000
Viet-Muong	-3000
Atlantic_Congo	-3000
Niger_Congo	-10000
Mande	+0
Mongolic	+500
Sino-Tibetan	-10000
Mordvin	+0
Uralic	-4000
West_Semitic	-2000
Central_Semitic	-1500
Arabic	+800
South_Slavic	+600
West_Slavic	+600
Iranian	-1000
Egyptian	-3000
Tupian	+0
Malayo-Sumbawan	+0
Armenian	+0
Korean	+0
Defoid	+0
Sami	+0
Northern_Atlantic	+0
Baltic	+0
Finnic	+1000
Greek	-1500
Ugric	-2000
Hindustani	+1800
Basque	+1800
Japanese	+0
Afroasiatic	-10000
Serbo_Croatian	+1900
Creole_Naija	+1900
Classical_Chinese_2.6	-400
ISWOC_Old_English	+900
Old_French_2.6	+1200
Old_Church_Slavonic_2.6	+800
Old_Russian_2.6	+1200
Archaic_Greek	-700
Classical_Greek	-400
Koine_Greek	+0
West_Germanic	+500
North_Germanic	+500
Sanskrit_2.6	-200
Latin_2.6	+0
West_Scandinavian	+1000
Icelandic_Faroese	+1300
Goidelic	+1300
Brythonic	+400
Balto_Slavic	-1500
Global_Dutch	+1600
Western_South_Slavic	+1000
Western_Romance	+800
Italo_Western_Romance	+600
Iberian_Romance	+1000
