Language	Model	Congruence_All	Congruence_VN	Congruence_VP	Congruence_V	Congruence_VProp
Arabic_2.6	808610550	0.654769541962	0.789633843522	0.193880062902	0.725356815564	0.817745630781
Catalan_2.6	15351473	0.362438815033	0.265631711343	0.860501194473	0.375529348491	0.201065689227
Czech_2.6	8083567	0.432276549248	0.438183908248	0.709930046532	0.437949577347	0.452586792812
Dutch_2.6	792204574	0.553289961975	0.524770888895	0.643924410306	0.543553630994	0.511605066805
Finnish_2.6	827369193	0.364423521799	0.357633694934	0.527766476108	0.359286822043	0.3780418177
French_2.6	321895975	0.17668953392	0.0716103399466	0.863511478619	0.180247264491	0.0911012470936
Hindi_2.6	111734057	0.75758747504	0.953588735623	0.982975404174	0.761303534849	0.983556187418
Norwegian_2.6	404536379	0.216133892484	0.250981802498	0.32157648536	0.248215466994	0.332650129432
Spanish_2.6	109501572	0.306265495276	0.254362680487	0.747806445705	0.321867498346	0.190259462824
Basque_2.6	331271672	0.716587751073	0.727417917609	0.834356552538	0.727153546464	0.702587405213
Bulgarian_2.6	578727380	0.335153472111	0.295723328878	0.754199823165	0.325626091374	0.32209829039
Croatian_2.6	197047016	0.365643262525	0.315218580571	0.731938112999	0.36063795076	0.377139369071
Estonian_2.6	594962576	0.465905118656	0.463485585431	0.612606992863	0.461119191794	0.479864255892
Hebrew_2.6	859945433	0.30112769439	0.4126226732	0.0799737040007	0.347473235524	0.360285714286
Japanese_2.6	883594891	0.999878617148	0.999938612646	1.0	0.999942376397	1.0
Polish_2.6	923245651	0.356880997126	0.356042911068	0.49427025535	0.36897766548	0.321829890224
Romanian_2.6	527450008	0.447355327658	0.421049251666	0.723169169675	0.452821666787	0.459559118623
Slovak_2.6	573080034	0.4277604201	0.435081113853	0.613804037079	0.435057656184	0.439175648858
Slovenian_2.6	324864889	0.458895155506	0.412419635743	0.777507702841	0.463153685804	0.452242152466
Swedish_2.6	548827526	0.208709115451	0.233889029262	0.272944640218	0.225011455271	0.272285966461
Afrikaans_2.6	902204320	0.759542160855	0.828774420814	0.765400906822	0.824671475151	0.7
Chinese_2.6	604864225	0.00565548478615	0.00274223185948	0.0030586818009	0.00238452173714	0.00193510789537
Danish_2.6	393107775	0.200005637934	0.179216448941	0.286632910189	0.222843327979	0.358974358974
Greek_2.6	889205968	0.342739683776	0.300883723808	0.854442848044	0.316489137554	0.27345491388
Hungarian_2.6	332302583	0.533789835137	0.493459049193	0.733748246214	0.511328504084	0.43661971831
North_Sami_2.6	551365694	0.312524635236	0.39452960241	0.475104136394	0.323111589968	0.246745897001
Serbian_2.6	129194730	0.294872459753	0.276463866295	0.623913043478	0.302517297234	0.304029037526
Turkish_2.6	670402396	0.919854033868	0.932845044565	0.861731123389	0.914769491139	0.878512148785
Ukrainian_2.6	707537650	0.367197628346	0.391449235323	0.535542495905	0.367765358949	0.353371305419
Amharic_2.6	916889443	0.542596848326	0.988479262673	0.587145412727	0.526633803922	1.0
Armenian_2.6	140520255	0.564992030326	0.548777339192	0.70825721593	0.56801716965	0.509734062858
Breton_2.6	509709263	0.513888097815	0.558020399236	0.434634974533	0.533845252208	0.641176470588
Buryat_2.6	328395877	0.984656704212	0.984416226913	0.969696969697	0.983136114454	0.986666666667
Cantonese_2.6	358328671	0.0468949904273	0.0015923566879	0.01	0.00870445925756	0.0
Faroese_2.6	788491493	0.151246531295	0.172258273848	0.244318181818	0.199709060682	0.317073170732
Kazakh_2.6	343190310	0.989463601533	0.993617021277	0.993377483444	0.987688098495	0.94623655914
Kurmanji_2.6	637585603	0.947404722422	0.943634102216	0.966666666667	0.948227831373	0.988372093023
Naija_2.6	236824569	0.00987875772657	0.035166285591	0.00154742994941	0.00792877494527	0.00699326348221
Thai_2.6	851122753	0.0812340520443	0.0322673594004	0.027027027027	0.0804486852355	0.0135135135135
Uyghur_2.6	334064436	0.962055719713	0.952610504679	0.97935483871	0.958676308345	1.0
Bambara_2.6	179554398	0.998495890035	1.0	1.0	0.998493544398	1.0
Erzya_2.6	333531889	0.475352669189	0.48699093174	0.627580262874	0.472744578364	0.391257995736
Maltese_2.6	691173339	0.273539432656	0.331555562998	0.367055988135	0.301479472908	0.255660597572
Latvian_2.6	815882104	0.404935118696	0.426583990699	0.785008318418	0.405468078865	0.426014115227
Indonesian_2.6	707882606	0.0710867938023	0.0350574729476	0.636371055091	0.0613631698777	0.0272106544078
Urdu_2.6	312280776	0.74160426684	0.967718899683	0.948328627626	0.747261752775	0.98276770041
Portuguese_2.6	857847193	0.171054911751	0.134433705158	0.64617744284	0.167851802805	0.122096718987
