CoarseDependency	DH_Weight	DependentPOS	DistanceWeight	FileName	HeadPOS	Language	Language_
nsubj	6.30177	NA	-4.32696	8009599	NA	English_SWBD	English_SWBD
obj	-9.99144	NA	1.2115	8009599	NA	English_SWBD	English_SWBD
nsubj	-1.25466	NA	-2.15835	1781585	NA	English_SWBD	English_SWBD
obj	10.00158	NA	0.85209	1781585	NA	English_SWBD	English_SWBD
nsubj	-0.23081	NA	-0.48008	328353	NA	English_SWBD	English_SWBD
obj	10.00032	NA	0.17819	328353	NA	English_SWBD	English_SWBD
nsubj	0.2941	NA	-0.4236	2497070	NA	English_SWBD	English_SWBD
obj	-10.00009	NA	0.16654	2497070	NA	English_SWBD	English_SWBD
nsubj	-0.29386	NA	-0.45035	5690113	NA	English_SWBD	English_SWBD
obj	9.99973	NA	0.17021	5690113	NA	English_SWBD	English_SWBD
nsubj	-0.14093	NA	-0.31905	3514672	NA	English_SWBD	English_SWBD
obj	10.0	NA	0.08741	3514672	NA	English_SWBD	English_SWBD
nsubj	5.33454	NA	-2.23686	5144512	NA	English_SWBD	English_SWBD
obj	10.00753	NA	1.56347	5144512	NA	English_SWBD	English_SWBD
nsubj	5.3848	NA	-2.44809	9426871	NA	English_SWBD	English_SWBD
obj	-9.95605	NA	0.61513	9426871	NA	English_SWBD	English_SWBD
nsubj	-5.33867	NA	-4.62006	4139312	NA	English_SWBD	English_SWBD
obj	-10.01343	NA	0.90452	4139312	NA	English_SWBD	English_SWBD
nsubj	-0.3294	NA	-1.59627	5134746	NA	English_SWBD	English_SWBD
obj	-9.99886	NA	0.47553	5134746	NA	English_SWBD	English_SWBD
nsubj	-0.19306	NA	-0.40734	8611411	NA	English_SWBD	English_SWBD
obj	10.0003	NA	0.1696	8611411	NA	English_SWBD	English_SWBD
nsubj	-1.55779	NA	-2.32819	5260754	NA	English_SWBD	English_SWBD
obj	9.99844	NA	0.92825	5260754	NA	English_SWBD	English_SWBD
nsubj	0.22436	NA	-0.52007	6047128	NA	English_SWBD	English_SWBD
obj	-10.00008	NA	0.17762	6047128	NA	English_SWBD	English_SWBD
nsubj	1.59978	NA	-1.69582	1742502	NA	English_SWBD	English_SWBD
obj	-10.00142	NA	1.01234	1742502	NA	English_SWBD	English_SWBD
