CoarseDependency	DH_Weight	DependentPOS	DistanceWeight	FileName	HeadPOS	Language	Language_
nsubj	0.08751	NOUN	0.04998	7975591	VERB	Norwegian-NynorskLIA_2.6	Norwegian-NynorskLIA
obj	-0.09091	NOUN	0.81486	7975591	VERB	Norwegian-NynorskLIA_2.6	Norwegian-NynorskLIA
nsubj	3.01712	NOUN	0.45921	6832995	VERB	Norwegian-NynorskLIA_2.6	Norwegian-NynorskLIA
obj	1.76028	NOUN	1.68461	6832995	VERB	Norwegian-NynorskLIA_2.6	Norwegian-NynorskLIA
nsubj	-1.52899	NOUN	1.27805	4067634	VERB	Norwegian-NynorskLIA_2.6	Norwegian-NynorskLIA
obj	3.59051	NOUN	1.4943	4067634	VERB	Norwegian-NynorskLIA_2.6	Norwegian-NynorskLIA
nsubj	2.30156	NOUN	0.87561	900236	VERB	Slovenian-SST_2.6	Slovenian-SST
obj	3.35402	NOUN	0.44546	900236	VERB	Slovenian-SST_2.6	Slovenian-SST
nsubj	2.51921	NOUN	0.85442	750334	VERB	French-Spoken_2.6	French-Spoken
obj	-3.75582	NOUN	2.19611	750334	VERB	French-Spoken_2.6	French-Spoken
nsubj	0.11386	NOUN	0.19716	4740310	VERB	Slovenian-SST_2.6	Slovenian-SST
obj	0.09014	NOUN	0.44338	4740310	VERB	Slovenian-SST_2.6	Slovenian-SST
nsubj	1.23587	NOUN	-0.19285	3910012	VERB	Norwegian-NynorskLIA_2.6	Norwegian-NynorskLIA
obj	-3.41749	NOUN	1.86816	3910012	VERB	Norwegian-NynorskLIA_2.6	Norwegian-NynorskLIA
nsubj	2.08089	NOUN	0.3753	5537077	VERB	Slovenian-SST_2.6	Slovenian-SST
obj	-0.8906	NOUN	0.3568	5537077	VERB	Slovenian-SST_2.6	Slovenian-SST
nsubj	2.0315	NOUN	0.22327	4864531	VERB	Norwegian-NynorskLIA_2.6	Norwegian-NynorskLIA
obj	-1.44496	NOUN	1.89627	4864531	VERB	Norwegian-NynorskLIA_2.6	Norwegian-NynorskLIA
nsubj	-2.31313	NOUN	0.25076	4335305	VERB	Slovenian-SST_2.6	Slovenian-SST
obj	-2.37594	NOUN	0.95104	4335305	VERB	Slovenian-SST_2.6	Slovenian-SST
nsubj	-0.6512	NOUN	-0.01936	1792066	VERB	Norwegian-NynorskLIA_2.6	Norwegian-NynorskLIA
obj	3.51504	NOUN	1.95785	1792066	VERB	Norwegian-NynorskLIA_2.6	Norwegian-NynorskLIA
nsubj	2.18193	NOUN	0.61214	6020421	VERB	Norwegian-NynorskLIA_2.6	Norwegian-NynorskLIA
obj	-2.91317	NOUN	1.34367	6020421	VERB	Norwegian-NynorskLIA_2.6	Norwegian-NynorskLIA
